ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC
1,73.93064529,73.92648203,73.92231876,73.9181555,73.91399223,73.90982897,73.9056657,73.90150244,73.89733917,73.8931759,73.88901264,73.88484937,73.88068611,73.87652284,73.87235958,73.86819631,73.86403305,73.85986978,73.85570651,73.85154325,73.84737998,73.84321672,73.83905345,73.83489019,73.83072692,73.82656366,73.82240039,73.81823712,73.81407386
2,73.93078775,73.92662448,73.92246122,73.91829795,73.91413468,73.90997142,73.90580815,73.90164489,73.89748162,73.89331836,73.88915509,73.88499183,73.88082856,73.8766653,73.87250203,73.86833876,73.8641755,73.86001223,73.85584897,73.8516857,73.84752244,73.84335917,73.83919591,73.83503264,73.83086937,73.82670611,73.82254284,73.81837958,73.81421631
3,73.9309302,73.92676693,73.92260367,73.9184404,73.91427714,73.91011387,73.90595061,73.90178734,73.89762408,73.89346081,73.88929754,73.88513428,73.88097101,73.87680775,73.87264448,73.86848122,73.86431795,73.86015469,73.85599142,73.85182816,73.84766489,73.84350162,73.83933836,73.83517509,73.83101183,73.82684856,73.8226853,73.81852203,73.81435877
4,73.93107265,73.92690939,73.92274612,73.91858286,73.91441959,73.91025633,73.90609306,73.90192979,73.89776653,73.89360326,73.88944,73.88527673,73.88111347,73.8769502,73.87278694,73.86862367,73.8644604,73.86029714,73.85613387,73.85197061,73.84780734,73.84364408,73.83948081,73.83531755,73.83115428,73.82699102,73.82282775,73.81866448,73.81450122
5,73.93121511,73.92705184,73.92288857,73.91872531,73.91456204,73.91039878,73.90623551,73.90207225,73.89790898,73.89374572,73.88958245,73.88541919,73.88125592,73.87709265,73.87292939,73.86876612,73.86460286,73.86043959,73.85627633,73.85211306,73.8479498,73.84378653,73.83962326,73.83546,73.83129673,73.82713347,73.8229702,73.81880694,73.81464367
6,73.93135756,73.92719429,73.92303103,73.91886776,73.9147045,73.91054123,73.90637797,73.9022147,73.89805143,73.89388817,73.8897249,73.88556164,73.88139837,73.87723511,73.87307184,73.86890858,73.86474531,73.86058205,73.85641878,73.85225551,73.84809225,73.84392898,73.83976572,73.83560245,73.83143919,73.82727592,73.82311266,73.81894939,73.81478612
7,73.93150001,73.92733675,73.92317348,73.91901022,73.91484695,73.91068368,73.90652042,73.90235715,73.89819389,73.89403062,73.88986736,73.88570409,73.88154083,73.87737756,73.87321429,73.86905103,73.86488776,73.8607245,73.85656123,73.85239797,73.8482347,73.84407144,73.83990817,73.83574491,73.83158164,73.82741837,73.82325511,73.81909184,73.81492858
8,73.93164247,73.9274792,73.92331593,73.91915267,73.9149894,73.91082614,73.90666287,73.90249961,73.89833634,73.89417308,73.89000981,73.88584654,73.88168328,73.87752001,73.87335675,73.86919348,73.86503022,73.86086695,73.85670369,73.85254042,73.84837715,73.84421389,73.84005062,73.83588736,73.83172409,73.82756083,73.82339756,73.8192343,73.81507103
9,73.93178492,73.92762165,73.92345839,73.91929512,73.91513186,73.91096859,73.90680533,73.90264206,73.89847879,73.89431553,73.89015226,73.885989,73.88182573,73.87766247,73.8734992,73.86933594,73.86517267,73.8610094,73.85684614,73.85268287,73.84851961,73.84435634,73.84019308,73.83602981,73.83186655,73.82770328,73.82354001,73.81937675,73.81521348
10,73.93192737,73.92776411,73.92360084,73.91943757,73.91527431,73.91111104,73.90694778,73.90278451,73.89862125,73.89445798,73.89029472,73.88613145,73.88196819,73.87780492,73.87364165,73.86947839,73.86531512,73.86115186,73.85698859,73.85282533,73.84866206,73.8444988,73.84033553,73.83617226,73.832009,73.82784573,73.82368247,73.8195192,73.81535594
