Borough,ZCTA,min,median,average,max,sum,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_Asian,Inc_Hisp/Lati,Inc_White,Inc_Black/AfricanAmer,Inc_Asian
BRONX,10034,245.0,425.0,425.0,605.0,850.0,42399,29339,8477,2647,1220,41316,85836,45579,79674
BRONX,10039,15.0,95.0,95.0,175.0,190.0,27854,9060,1767,15821,443,33527,87027,41731,44896
BRONX,10040,80.0,80.0,80.0,80.0,80.0,44800,30795,9955,2004,1231,37672,77769,43709,62946
BRONX,10451,15.0,427.5,495.6333333333333,1860.0,14869.0,48136,29215,1595,15962,656,28176,42422,30703,39444
BRONX,10452,65.0,410.0,491.48,1615.0,12287.0,75452,52397,1371,19470,1173,28408,23056,31241,35278
BRONX,10453,30.0,285.0,282.4074074074074,700.0,7625.0,81716,56517,1211,21644,1213,27240,26500,32488,36369
BRONX,10454,15.0,202.5,288.6875,920.0,9238.0,37212,25238,1311,10153,90,20409,97222,19716,-
BRONX,10455,30.0,420.0,500.04545454545456,1735.0,11001.0,41951,30079,657,10276,385,27769,22813,28522,90476
BRONX,10456,90.0,399.5,443.1333333333333,1010.0,13294.0,92717,54808,1538,33899,582,27933,40850,30880,31333
BRONX,10457,30.0,265.0,315.9032258064516,915.0,9793.0,74822,50248,926,21980,687,29151,-,30303,53529
BRONX,10458,30.0,275.0,310.90909090909093,940.0,10260.0,85620,60678,6832,14162,2494,35429,34351,35441,47716
BRONX,10459,75.0,422.5,415.55555555555554,730.0,7480.0,48780,33569,843,13637,266,28141,-,32224,-
BRONX,10460,15.0,225.0,264.35483870967744,715.0,8195.0,59432,40914,1620,15195,816,26236,36875,29359,62750
BRONX,10461,10.0,202.5,261.02941176470586,870.0,8875.0,49690,23933,15263,3739,5833,56128,62912,48537,73661
BRONX,10462,10.0,240.0,264.2162162162162,645.0,9776.0,75714,34799,8966,18965,10218,53398,52019,59408,53426
BRONX,10463,35.0,260.0,256.6279069767442,555.0,11035.0,71132,35688,22166,8518,2690,47878,84576,41037,79361
BRONX,10465,25.0,160.0,151.25,300.0,2420.0,43671,20121,18013,3841,1081,75733,77304,54154,80958
BRONX,10466,85.0,155.0,197.14285714285714,375.0,1380.0,75039,17603,2236,50321,2132,33566,35303,64423,72766
BRONX,10467,20.0,150.0,193.88888888888889,1715.0,8725.0,101255,52735,9355,30812,5754,37711,40258,41496,47807
BRONX,10468,10.0,230.0,245.64,650.0,6141.0,78881,60593,2323,12701,1771,35948,37208,45384,51125
BRONX,10469,35.0,95.0,127.3529411764706,430.0,2165.0,72384,20970,7267,38257,4427,52921,74417,68531,58177
BRONX,10470,55.0,55.0,55.0,55.0,55.0,15716,2958,5582,6369,463,47679,77692,55513,63393
BRONX,10471,10.0,85.0,97.6,400.0,2440.0,22422,5434,12962,2185,1145,72475,95842,102740,68676
BRONX,10472,85.0,290.0,302.0689655172414,700.0,8760.0,67948,42584,1948,16201,5383,32938,29732,32530,67054
BRONX,10473,40.0,217.5,219.92307692307693,495.0,5718.0,59579,36514,1657,19834,813,39302,68333,42937,100703
BRONX,10474,10.0,160.0,258.5,1020.0,7755.0,12179,7593,188,4311,21,22444,-,24726,-
