,ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip,ZCTA
0,392.0,BRONX,24C,245.0,6/20/2018,24.0,C,40.85170386,73.92559518,10034.0,10034
1,505.0,BRONX,33G,605.0,6/20/2018,33.0,G,40.87318356,73.9102242,10034.0,10034
2,128.0,BRONX,11A,15.0,6/20/2018,11.0,A,40.821266,73.93206982,10039.0,10039
3,214.0,BRONX,15A,175.0,6/20/2018,15.0,A,40.83053565,73.93263964,10039.0,10039
4,374.0,BRONX,23C,80.0,6/20/2018,23.0,C,40.84938645,73.92545273,10040.0,10040
5,173.0,BRONX,13A,15.0,6/20/2018,13.0,A,40.82590083,73.93235473,10451.0,10451
6,103.0,BRONX,10A,30.0,6/20/2018,10.0,A,40.81894859,73.93192737,10451.0,10451
7,108.0,BRONX,10C,40.0,6/20/2018,10.0,C,40.81926009,73.92360084,10451.0,10451
8,39.0,BRONX,6A,90.0,6/20/2018,6.0,A,40.80967894,73.93135756,10451.0,10451
9,133.0,BRONX,11D,95.0,6/20/2018,11.0,D,40.82173325,73.91958003,10451.0,10451
10,67.0,BRONX,8A,160.0,6/20/2018,8.0,A,40.81431377,73.93164247,10451.0,10451
11,174.0,BRONX,13B,165.0,6/20/2018,13.0,B,40.82605658,73.92819146,10451.0,10451
12,131.0,BRONX,11B,200.0,6/20/2018,11.0,B,40.82142175,73.92790656,10451.0,10451
13,82.0,BRONX,9A,260.0,6/20/2018,9.0,A,40.81663118,73.93178492,10451.0,10451
14,177.0,BRONX,13E,305.0,6/20/2018,13.0,E,40.82652382,73.91570167,10451.0,10451
15,175.0,BRONX,13C,327.0,6/20/2018,13.0,C,40.82621232,73.9240282,10451.0,10451
16,70.0,BRONX,8C,345.0,6/20/2018,8.0,C,40.81462526,73.92331593,10451.0,10451
17,154.0,BRONX,12B,365.0,6/20/2018,12.0,B,40.82373916,73.92804901,10451.0,10451
18,53.0,BRONX,7B,396.0,6/20/2018,7.0,B,40.8121521,73.92733675,10451.0,10451
19,135.0,BRONX,11F,425.0,6/20/2018,11.0,F,40.82204474,73.9112535,10451.0,10451
20,132.0,BRONX,11C,430.0,6/20/2018,11.0,C,40.8215775,73.92374329,10451.0,10451
21,157.0,BRONX,12E,485.0,6/20/2018,12.0,E,40.82420641,73.91555922,10451.0,10451
22,151.0,BRONX,12A,490.0,6/20/2018,12.0,A,40.82358341,73.93221228,10451.0,10451
23,197.0,BRONX,14D,550.0,6/20/2018,14.0,D,40.82868548,73.92000739,10451.0,10451
24,69.0,BRONX,8B,555.0,6/20/2018,8.0,B,40.81446951,73.9274792,10451.0,10451
25,134.0,BRONX,11E,555.0,6/20/2018,11.0,E,40.821889,73.91541676,10451.0,10451
26,109.0,BRONX,10D,575.0,6/20/2018,10.0,D,40.81941584,73.91943757,10451.0,10451
27,195.0,BRONX,14B,600.0,6/20/2018,14.0,B,40.82837399,73.92833392,10451.0,10451
28,107.0,BRONX,10B,687.0,6/20/2018,10.0,B,40.81910434,73.92776411,10451.0,10451
29,86.0,BRONX,9D,778.0,6/20/2018,9.0,D,40.81709842,73.91929512,10451.0,10451
30,84.0,BRONX,9B,910.0,6/20/2018,9.0,B,40.81678693,73.92762165,10451.0,10451
31,111.0,BRONX,10F,910.0,6/20/2018,10.0,F,40.81972733,73.91111104,10451.0,10451
32,155.0,BRONX,12C,1075.0,6/20/2018,12.0,C,40.82389491,73.92388575,10451.0,10451
33,156.0,BRONX,12D,1191.0,6/20/2018,12.0,D,40.82405066,73.91972248,10451.0,10451
34,176.0,BRONX,13D,1860.0,6/20/2018,13.0,D,40.82636807,73.91986493,10451.0,10451
35,236.0,BRONX,16A,65.0,6/20/2018,16.0,A,40.83285306,73.93278209,10452.0,10452
36,299.0,BRONX,19B,75.0,6/20/2018,19.0,B,40.83996105,73.92904618,10452.0,10452
37,356.0,BRONX,22C,170.0,6/20/2018,22.0,C,40.84706903,73.92531028,10452.0,10452
38,301.0,BRONX,19D,185.0,6/20/2018,19.0,D,40.84027255,73.92071965,10452.0,10452
39,238.0,BRONX,16C,185.0,6/20/2018,16.0,C,40.83316456,73.92445556,10452.0,10452
40,279.0,BRONX,18C,195.0,6/20/2018,18.0,C,40.83779938,73.92474046,10452.0,10452
41,336.0,BRONX,21D,250.0,6/20/2018,21.0,D,40.84490737,73.92100456,10452.0,10452
42,237.0,BRONX,16B,305.0,6/20/2018,16.0,B,40.83300881,73.92861882,10452.0,10452
43,239.0,BRONX,16D,310.0,6/20/2018,16.0,D,40.83332031,73.92029229,10452.0,10452
44,337.0,BRONX,21E,345.0,6/20/2018,21.0,E,40.84506312,73.91684129,10452.0,10452
45,320.0,BRONX,20D,375.0,6/20/2018,20.0,D,40.84258996,73.92086211,10452.0,10452
46,321.0,BRONX,20E,390.0,6/20/2018,20.0,E,40.84274571,73.91669884,10452.0,10452
47,196.0,BRONX,14C,410.0,6/20/2018,14.0,C,40.82852974,73.92417065,10452.0,10452
48,216.0,BRONX,15C,415.0,6/20/2018,15.0,C,40.83084715,73.92431311,10452.0,10452
49,280.0,BRONX,18D,415.0,6/20/2018,18.0,D,40.83795513,73.9205772,10452.0,10452
