Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BRONX,38E,,
BRONX,39E,,
BRONX,40E,25,6/20/2018
BRONX,41E,,
BRONX,42E,,
BRONX,34F,160,6/20/2018
BRONX,35F,50,6/20/2018
BRONX,35D,,
BRONX,36D,,
BRONX,37D,120,6/20/2018
BRONX,38D,,
BRONX,34E,,
BRONX,35E,320,6/20/2018
BRONX,36E,200,6/20/2018
BRONX,37E,390,6/20/2018
BRONX,36F,220,6/20/2018
BRONX,37F,255,6/20/2018
BRONX,38F,270,6/20/2018
BRONX,33G,605,6/20/2018
BRONX,39F,120,6/20/2018
BRONX,40F,365,6/20/2018
BRONX,41F,,
BRONX,42F,,
BRONX,43F,,
BRONX,44F,,
BRONX,46F,,
BRONX,34G,370,6/20/2018
BRONX,35G,260,6/20/2018
BRONX,36G,385,6/20/2018
BRONX,37G,105,6/20/2018
BRONX,38G,405,6/20/2018
BRONX,39G,480,6/20/2018
BRONX,40G,270,6/20/2018
BRONX,41G,190,6/20/2018
BRONX,42G,60,6/20/2018
BRONX,43G,20,6/20/2018
BRONX,44G,,
BRONX,45G,,
BRONX,46G,,
BRONX,47G,10,6/20/2018
BRONX,48G,,
BRONX,50G,,
BRONX,33P,115,6/20/2018
BRONX,34P,45,6/20/2018
BRONX,35P,365,6/20/2018
BRONX,36P,,
BRONX,42P,,
BRONX,43P,,
BRONX,44P,,
BRONX,33O,270,6/20/2018
BRONX,34O,245,6/20/2018
BRONX,35O,270,6/20/2018
BRONX,36O,220,6/20/2018
BRONX,37O,80,6/20/2018
BRONX,38O,40,6/20/2018
BRONX,39O,,
BRONX,40O,,
BRONX,42O,,
BRONX,43O,,
BRONX,44O,,
BRONX,45O,,
BRONX,46O,,
BRONX,33Q,75,6/20/2018
BRONX,34Q,50,6/20/2018
BRONX,35Q,100,6/20/2018
BRONX,36Q,,
BRONX,37Q,,
BRONX,38Q,,
BRONX,39Q,,
BRONX,42Q,,
BRONX,32U,35,6/20/2018
BRONX,33U,110,6/20/2018
BRONX,34U,70,6/20/2018
BRONX,32AG,,
BRONX,33AG,,
BRONX,36AG,,
BRONX,37AG,,
BRONX,47U,,
BRONX,48U,,
BRONX,32S,,
BRONX,33S,40,6/20/2018
BRONX,34S,,
BRONX,35S,,
BRONX,36S,,
BRONX,37S,,
BRONX,38S,220,6/20/2018
BRONX,39S,140,6/20/2018
BRONX,40S,155,6/20/2018
BRONX,41S,375,6/20/2018
BRONX,42S,55,6/20/2018
BRONX,43S,,
BRONX,44S,,
BRONX,32T,,
BRONX,33T,,
BRONX,34T,,
BRONX,35T,,
BRONX,36T,,
BRONX,37T,,
BRONX,38T,,
BRONX,39T,,
BRONX,40T,255,6/20/2018
BRONX,41T,150,6/20/2018
BRONX,42T,85,6/20/2018
BRONX,43T,,
BRONX,37AC,,
BRONX,38AC,,
BRONX,39AC,,
BRONX,38W,,
BRONX,39W,,
BRONX,40W,,
BRONX,41W,,
BRONX,42W,,
BRONX,43W,,
BRONX,44W,,
BRONX,45W,,
BRONX,46W,,
BRONX,32X,,
BRONX,33X,,
BRONX,34X,,
BRONX,35X,,
BRONX,36X,,
BRONX,37X,,
BRONX,38X,,
BRONX,39X,,
BRONX,40X,,
BRONX,41X,,
BRONX,42X,,
BRONX,43X,,
BRONX,44X,,
BRONX,45X,,
BRONX,32V,,
BRONX,33V,95,6/20/2018
BRONX,34V,140,6/20/2018
BRONX,35V,40,6/20/2018
BRONX,36V,,
BRONX,37V,,
BRONX,38V,,
BRONX,32Y,,
BRONX,33Y,,
BRONX,34Y,,
BRONX,35Y,,
BRONX,36Y,,
BRONX,37Y,,
BRONX,38Y,,
BRONX,39Y,,
BRONX,40Y,,
BRONX,41Y,,
BRONX,32Z,,
BRONX,33Z,,
BRONX,34Z,,
BRONX,35Z,,
BRONX,36Z,,
BRONX,37Z,,
BRONX,38Z,,
BRONX,39Z,,
BRONX,40Z,,
BRONX,33R,90,6/20/2018
BRONX,32AA,,
BRONX,33AA,,
BRONX,34AA,,
BRONX,35AA,,
BRONX,36AA,,
BRONX,37AA,,
BRONX,33AH,,
BRONX,34AH,,
BRONX,36AH,,
BRONX,34AI,,
BRONX,35AI,,
BRONX,36AI,,
BRONX,32AB,,
BRONX,33AB,,
BRONX,34AB,,
BRONX,35AB,,
BRONX,36AB,,
BRONX,37AB,,
BRONX,38AB,,
BRONX,39AB,,
BRONX,37AD,,
BRONX,38AD,,
BRONX,32AE,,
BRONX,37AE,,
BRONX,38AE,,
BRONX,32AF,,
