Borough,ZCTA,min,median,average,max,sum
BRONX,10034,245.0,425.0,425.0,605.0,850.0
BRONX,10039,15.0,95.0,95.0,175.0,190.0
BRONX,10040,80.0,80.0,80.0,80.0,80.0
BRONX,10451,15.0,427.5,495.6333333333333,1860.0,14869.0
BRONX,10452,65.0,410.0,491.48,1615.0,12287.0
BRONX,10453,30.0,285.0,282.4074074074074,700.0,7625.0
BRONX,10454,15.0,202.5,288.6875,920.0,9238.0
BRONX,10455,30.0,420.0,500.04545454545456,1735.0,11001.0
BRONX,10456,90.0,399.5,443.1333333333333,1010.0,13294.0
BRONX,10457,30.0,265.0,315.9032258064516,915.0,9793.0
BRONX,10458,30.0,275.0,310.90909090909093,940.0,10260.0
BRONX,10459,75.0,422.5,415.55555555555554,730.0,7480.0
BRONX,10460,15.0,225.0,264.35483870967744,715.0,8195.0
BRONX,10461,10.0,202.5,261.02941176470586,870.0,8875.0
BRONX,10462,10.0,240.0,264.2162162162162,645.0,9776.0
BRONX,10463,35.0,260.0,256.6279069767442,555.0,11035.0
BRONX,10465,25.0,160.0,151.25,300.0,2420.0
BRONX,10466,85.0,155.0,197.14285714285714,375.0,1380.0
BRONX,10467,20.0,150.0,193.88888888888889,1715.0,8725.0
BRONX,10468,10.0,230.0,245.64,650.0,6141.0
BRONX,10469,35.0,95.0,127.3529411764706,430.0,2165.0
BRONX,10470,55.0,55.0,55.0,55.0,55.0
BRONX,10471,10.0,85.0,97.6,400.0,2440.0
BRONX,10472,85.0,290.0,302.0689655172414,700.0,8760.0
BRONX,10473,40.0,217.5,219.92307692307693,495.0,5718.0
BRONX,10474,10.0,160.0,258.5,1020.0,7755.0
