ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
392,BRONX,24C,245,6/20/2018,24,C,40.85170386,73.92559518,10034
505,BRONX,33G,605,6/20/2018,33,G,40.87318356,73.9102242,10034
128,BRONX,11A,15,6/20/2018,11,A,40.821266,73.93206982,10039
214,BRONX,15A,175,6/20/2018,15,A,40.83053565,73.93263964,10039
374,BRONX,23C,80,6/20/2018,23,C,40.84938645,73.92545273,10040
173,BRONX,13A,15,6/20/2018,13,A,40.82590083,73.93235473,10451
103,BRONX,10A,30,6/20/2018,10,A,40.81894859,73.93192737,10451
108,BRONX,10C,40,6/20/2018,10,C,40.81926009,73.92360084,10451
39,BRONX,6A,90,6/20/2018,6,A,40.80967894,73.93135756,10451
133,BRONX,11D,95,6/20/2018,11,D,40.82173325,73.91958003,10451
67,BRONX,8A,160,6/20/2018,8,A,40.81431377,73.93164247,10451
174,BRONX,13B,165,6/20/2018,13,B,40.82605658,73.92819146,10451
131,BRONX,11B,200,6/20/2018,11,B,40.82142175,73.92790656,10451
82,BRONX,9A,260,6/20/2018,9,A,40.81663118,73.93178492,10451
177,BRONX,13E,305,6/20/2018,13,E,40.82652382,73.91570167,10451
175,BRONX,13C,327,6/20/2018,13,C,40.82621232,73.9240282,10451
70,BRONX,8C,345,6/20/2018,8,C,40.81462526,73.92331593,10451
154,BRONX,12B,365,6/20/2018,12,B,40.82373916,73.92804901,10451
53,BRONX,7B,396,6/20/2018,7,B,40.8121521,73.92733675,10451
135,BRONX,11F,425,6/20/2018,11,F,40.82204474,73.9112535,10451
132,BRONX,11C,430,6/20/2018,11,C,40.8215775,73.92374329,10451
157,BRONX,12E,485,6/20/2018,12,E,40.82420641,73.91555922,10451
151,BRONX,12A,490,6/20/2018,12,A,40.82358341,73.93221228,10451
197,BRONX,14D,550,6/20/2018,14,D,40.82868548,73.92000739,10451
69,BRONX,8B,555,6/20/2018,8,B,40.81446951,73.9274792,10451
134,BRONX,11E,555,6/20/2018,11,E,40.821889,73.91541676,10451
109,BRONX,10D,575,6/20/2018,10,D,40.81941584,73.91943757,10451
195,BRONX,14B,600,6/20/2018,14,B,40.82837399,73.92833392,10451
