"GEO_ID","NAME","B19013B_001E","B19013B_001EA","B19013B_001M","B19013B_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"8600000US06390","ZCTA5 06390","-","-","**","**",
"8600000US10001","ZCTA5 10001","44952","null","30850","null",
"8600000US10002","ZCTA5 10002","19454","null","12374","null",
"8600000US10003","ZCTA5 10003","61411","null","36385","null",
"8600000US10004","ZCTA5 10004","200871","null","50941","null",
"8600000US10005","ZCTA5 10005","188705","null","40958","null",
"8600000US10006","ZCTA5 10006","182228","null","181682","null",
"8600000US10007","ZCTA5 10007","-","-","**","**",
"8600000US10009","ZCTA5 10009","22121","null","12745","null",
"8600000US10010","ZCTA5 10010","-","-","**","**",
"8600000US10011","ZCTA5 10011","19400","null","15987","null",
"8600000US10012","ZCTA5 10012","42156","null","34375","null",
"8600000US10013","ZCTA5 10013","56117","null","19687","null",
"8600000US10014","ZCTA5 10014","82361","null","45457","null",
"8600000US10016","ZCTA5 10016","105808","null","67938","null",
"8600000US10017","ZCTA5 10017","84886","null","18355","null",
"8600000US10018","ZCTA5 10018","45826","null","32785","null",
"8600000US10019","ZCTA5 10019","24111","null","16090","null",
"8600000US10020","ZCTA5 10020","-","-","**","**",
"8600000US10021","ZCTA5 10021","-","-","**","**",
"8600000US10022","ZCTA5 10022","73750","null","58926","null",
"8600000US10023","ZCTA5 10023","38028","null","15746","null",
"8600000US10024","ZCTA5 10024","30406","null","10229","null",
"8600000US10025","ZCTA5 10025","28517","null","9372","null",
"8600000US10026","ZCTA5 10026","44420","null","5330","null",
"8600000US10027","ZCTA5 10027","38418","null","3364","null",
"8600000US10028","ZCTA5 10028","55858","null","51711","null",
"8600000US10029","ZCTA5 10029","25611","null","3702","null",
"8600000US10030","ZCTA5 10030","36502","null","4615","null",
"8600000US10031","ZCTA5 10031","40967","null","6106","null",
"8600000US10032","ZCTA5 10032","40958","null","7099","null",
"8600000US10033","ZCTA5 10033","62547","null","12286","null",
"8600000US10034","ZCTA5 10034","45579","null","13267","null",
"8600000US10035","ZCTA5 10035","22990","null","4268","null",
"8600000US10036","ZCTA5 10036","54922","null","43010","null",
"8600000US10037","ZCTA5 10037","41262","null","8551","null",
"8600000US10038","ZCTA5 10038","35968","null","15958","null",
"8600000US10039","ZCTA5 10039","41731","null","8144","null",
"8600000US10040","ZCTA5 10040","43709","null","9326","null",
"8600000US10044","ZCTA5 10044","110224","null","81688","null",
"8600000US10065","ZCTA5 10065","101643","null","50950","null",
"8600000US10069","ZCTA5 10069","-","-","**","**",
"8600000US10075","ZCTA5 10075","-","-","**","**",
"8600000US10103","ZCTA5 10103","-","-","**","**",
"8600000US10110","ZCTA5 10110","-","-","**","**",
"8600000US10111","ZCTA5 10111","-","-","**","**",
"8600000US10112","ZCTA5 10112","-","-","**","**",
"8600000US10115","ZCTA5 10115","-","-","**","**",
"8600000US10119","ZCTA5 10119","-","-","**","**",
"8600000US10128","ZCTA5 10128","51155","null","27928","null",
"8600000US10152","ZCTA5 10152","-","-","**","**",
"8600000US10153","ZCTA5 10153","-","-","**","**",
"8600000US10154","ZCTA5 10154","-","-","**","**",
"8600000US10162","ZCTA5 10162","-","-","**","**",
"8600000US10165","ZCTA5 10165","-","-","**","**",
"8600000US10167","ZCTA5 10167","-","-","**","**",
"8600000US10168","ZCTA5 10168","-","-","**","**",
"8600000US10169","ZCTA5 10169","-","-","**","**",
"8600000US10170","ZCTA5 10170","-","-","**","**",
"8600000US10171","ZCTA5 10171","-","-","**","**",
"8600000US10172","ZCTA5 10172","-","-","**","**",
"8600000US10173","ZCTA5 10173","-","-","**","**",
"8600000US10174","ZCTA5 10174","-","-","**","**",
"8600000US10177","ZCTA5 10177","-","-","**","**",
"8600000US10199","ZCTA5 10199","-","-","**","**",
"8600000US10271","ZCTA5 10271","-","-","**","**",
"8600000US10278","ZCTA5 10278","-","-","**","**",
"8600000US10279","ZCTA5 10279","-","-","**","**",
"8600000US10280","ZCTA5 10280","161848","null","112779","null",
"8600000US10282","ZCTA5 10282","-","-","**","**",
"8600000US10301","ZCTA5 10301","42238","null","11021","null",
"8600000US10302","ZCTA5 10302","60179","null","17476","null",
"8600000US10303","ZCTA5 10303","56323","null","9850","null",
"8600000US10304","ZCTA5 10304","30987","null","14518","null",
"8600000US10305","ZCTA5 10305","55105","null","4481","null",
"8600000US10306","ZCTA5 10306","58190","null","29473","null",
"8600000US10307","ZCTA5 10307","-","-","**","**",
"8600000US10308","ZCTA5 10308","-","-","**","**",
"8600000US10309","ZCTA5 10309","-","-","**","**",
"8600000US10310","ZCTA5 10310","51348","null","9289","null",
"8600000US10311","ZCTA5 10311","-","-","**","**",
"8600000US10312","ZCTA5 10312","68529","null","41363","null",
"8600000US10314","ZCTA5 10314","44304","null","18208","null",
"8600000US10451","ZCTA5 10451","30703","null","2732","null",
"8600000US10452","ZCTA5 10452","31241","null","2909","null",
"8600000US10453","ZCTA5 10453","32488","null","3828","null",
"8600000US10454","ZCTA5 10454","19716","null","6975","null",
"8600000US10455","ZCTA5 10455","28522","null","3253","null",
"8600000US10456","ZCTA5 10456","30880","null","2714","null",
"8600000US10457","ZCTA5 10457","30303","null","3273","null",
"8600000US10458","ZCTA5 10458","35441","null","4218","null",
"8600000US10459","ZCTA5 10459","32224","null","4409","null",
"8600000US10460","ZCTA5 10460","29359","null","4824","null",
"8600000US10461","ZCTA5 10461","48537","null","8859","null",
"8600000US10462","ZCTA5 10462","59408","null","4054","null",
"8600000US10463","ZCTA5 10463","41037","null","5602","null",
"8600000US10464","ZCTA5 10464","-","-","**","**",
"8600000US10465","ZCTA5 10465","54154","null","18811","null",
"8600000US10466","ZCTA5 10466","64423","null","3783","null",
"8600000US10467","ZCTA5 10467","41496","null","2466","null",
"8600000US10468","ZCTA5 10468","45384","null","4618","null",
"8600000US10469","ZCTA5 10469","68531","null","5208","null",
"8600000US10470","ZCTA5 10470","55513","null","9456","null",
"8600000US10471","ZCTA5 10471","102740","null","20734","null",
"8600000US10472","ZCTA5 10472","32530","null","4341","null",
"8600000US10473","ZCTA5 10473","42937","null","4697","null",
"8600000US10474","ZCTA5 10474","24726","null","11703","null",
"8600000US10475","ZCTA5 10475","54705","null","4126","null",
"8600000US10501","ZCTA5 10501","-","-","**","**",
"8600000US10502","ZCTA5 10502","250,000+","250,000+","***","***",
"8600000US10503","ZCTA5 10503","-","-","**","**",
"8600000US10504","ZCTA5 10504","-","-","**","**",
"8600000US10505","ZCTA5 10505","-","-","**","**",
"8600000US10506","ZCTA5 10506","-","-","**","**",
"8600000US10507","ZCTA5 10507","-","-","**","**",
"8600000US10509","ZCTA5 10509","-","-","**","**",
"8600000US10510","ZCTA5 10510","147386","null","55341","null",
"8600000US10511","ZCTA5 10511","136359","null","89403","null",
"8600000US10512","ZCTA5 10512","77315","null","24309","null",
"8600000US10514","ZCTA5 10514","221220","null","33057","null",
"8600000US10516","ZCTA5 10516","-","-","**","**",
"8600000US10517","ZCTA5 10517","-","-","**","**",
"8600000US10518","ZCTA5 10518","-","-","**","**",
"8600000US10519","ZCTA5 10519","-","-","**","**",
"8600000US10520","ZCTA5 10520","39942","null","23364","null",
"8600000US10522","ZCTA5 10522","127979","null","48112","null",
"8600000US10523","ZCTA5 10523","110677","null","16225","null",
"8600000US10524","ZCTA5 10524","90862","null","1764","null",
"8600000US10526","ZCTA5 10526","-","-","**","**",
"8600000US10527","ZCTA5 10527","-","-","**","**",
"8600000US10528","ZCTA5 10528","-","-","**","**",
"8600000US10530","ZCTA5 10530","78077","null","24490","null",
"8600000US10532","ZCTA5 10532","-","-","**","**",
"8600000US10533","ZCTA5 10533","-","-","**","**",
"8600000US10535","ZCTA5 10535","-","-","**","**",
"8600000US10536","ZCTA5 10536","153750","null","150187","null",
"8600000US10537","ZCTA5 10537","210438","null","105556","null",
"8600000US10538","ZCTA5 10538","76645","null","64987","null",
"8600000US10541","ZCTA5 10541","-","-","**","**",
"8600000US10543","ZCTA5 10543","71591","null","62595","null",
"8600000US10545","ZCTA5 10545","-","-","**","**",
"8600000US10546","ZCTA5 10546","-","-","**","**",
"8600000US10547","ZCTA5 10547","250,000+","250,000+","***","***",
"8600000US10548","ZCTA5 10548","53669","null","27701","null",
"8600000US10549","ZCTA5 10549","92283","null","52340","null",
"8600000US10550","ZCTA5 10550","50014","null","4126","null",
"8600000US10552","ZCTA5 10552","71217","null","11918","null",
"8600000US10553","ZCTA5 10553","75599","null","9024","null",
"8600000US10560","ZCTA5 10560","-","-","**","**",
"8600000US10562","ZCTA5 10562","74864","null","10943","null",
"8600000US10566","ZCTA5 10566","49344","null","8610","null",
"8600000US10567","ZCTA5 10567","92381","null","66769","null",
"8600000US10570","ZCTA5 10570","-","-","**","**",
"8600000US10573","ZCTA5 10573","54808","null","50371","null",
