"GEO_ID","NAME","B19013D_001E","B19013D_001EA","B19013D_001M","B19013D_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"8600000US06390","ZCTA5 06390","-","-","**","**",
"8600000US10001","ZCTA5 10001","62022","null","18635","null",
"8600000US10002","ZCTA5 10002","26925","null","3192","null",
"8600000US10003","ZCTA5 10003","84750","null","28661","null",
"8600000US10004","ZCTA5 10004","137891","null","130901","null",
"8600000US10005","ZCTA5 10005","140739","null","53146","null",
"8600000US10006","ZCTA5 10006","100208","null","43416","null",
"8600000US10007","ZCTA5 10007","-","-","**","**",
"8600000US10009","ZCTA5 10009","39120","null","21709","null",
"8600000US10010","ZCTA5 10010","142426","null","41882","null",
"8600000US10011","ZCTA5 10011","156179","null","24558","null",
"8600000US10012","ZCTA5 10012","73036","null","20373","null",
"8600000US10013","ZCTA5 10013","41587","null","15543","null",
"8600000US10014","ZCTA5 10014","166779","null","81851","null",
"8600000US10016","ZCTA5 10016","124561","null","19589","null",
"8600000US10017","ZCTA5 10017","127652","null","39415","null",
"8600000US10018","ZCTA5 10018","108938","null","23973","null",
"8600000US10019","ZCTA5 10019","139632","null","26108","null",
"8600000US10020","ZCTA5 10020","-","-","**","**",
"8600000US10021","ZCTA5 10021","108167","null","47066","null",
"8600000US10022","ZCTA5 10022","170625","null","31918","null",
"8600000US10023","ZCTA5 10023","152371","null","33869","null",
"8600000US10024","ZCTA5 10024","153618","null","61340","null",
"8600000US10025","ZCTA5 10025","87103","null","13877","null",
"8600000US10026","ZCTA5 10026","55917","null","27409","null",
"8600000US10027","ZCTA5 10027","75694","null","22710","null",
"8600000US10028","ZCTA5 10028","109771","null","23962","null",
"8600000US10029","ZCTA5 10029","47614","null","14589","null",
"8600000US10030","ZCTA5 10030","70125","null","47818","null",
"8600000US10031","ZCTA5 10031","92883","null","23783","null",
"8600000US10032","ZCTA5 10032","73313","null","11054","null",
"8600000US10033","ZCTA5 10033","50726","null","41176","null",
"8600000US10034","ZCTA5 10034","79674","null","24750","null",
"8600000US10035","ZCTA5 10035","76075","null","8747","null",
"8600000US10036","ZCTA5 10036","113098","null","16251","null",
"8600000US10037","ZCTA5 10037","63672","null","25100","null",
"8600000US10038","ZCTA5 10038","36044","null","8958","null",
"8600000US10039","ZCTA5 10039","44896","null","34712","null",
"8600000US10040","ZCTA5 10040","62946","null","23958","null",
"8600000US10044","ZCTA5 10044","123547","null","17385","null",
"8600000US10065","ZCTA5 10065","130625","null","41460","null",
"8600000US10069","ZCTA5 10069","193884","null","155847","null",
"8600000US10075","ZCTA5 10075","145759","null","62588","null",
"8600000US10103","ZCTA5 10103","-","-","**","**",
"8600000US10110","ZCTA5 10110","-","-","**","**",
"8600000US10111","ZCTA5 10111","-","-","**","**",
"8600000US10112","ZCTA5 10112","-","-","**","**",
"8600000US10115","ZCTA5 10115","-","-","**","**",
"8600000US10119","ZCTA5 10119","-","-","**","**",
"8600000US10128","ZCTA5 10128","162192","null","13867","null",
"8600000US10152","ZCTA5 10152","-","-","**","**",
"8600000US10153","ZCTA5 10153","-","-","**","**",
"8600000US10154","ZCTA5 10154","-","-","**","**",
"8600000US10162","ZCTA5 10162","-","-","**","**",
"8600000US10165","ZCTA5 10165","-","-","**","**",
"8600000US10167","ZCTA5 10167","-","-","**","**",
"8600000US10168","ZCTA5 10168","-","-","**","**",
"8600000US10169","ZCTA5 10169","-","-","**","**",
"8600000US10170","ZCTA5 10170","-","-","**","**",
"8600000US10171","ZCTA5 10171","-","-","**","**",
"8600000US10172","ZCTA5 10172","-","-","**","**",
"8600000US10173","ZCTA5 10173","-","-","**","**",
"8600000US10174","ZCTA5 10174","-","-","**","**",
"8600000US10177","ZCTA5 10177","-","-","**","**",
"8600000US10199","ZCTA5 10199","-","-","**","**",
"8600000US10271","ZCTA5 10271","-","-","**","**",
"8600000US10278","ZCTA5 10278","-","-","**","**",
"8600000US10279","ZCTA5 10279","-","-","**","**",
"8600000US10280","ZCTA5 10280","132177","null","69481","null",
"8600000US10282","ZCTA5 10282","250,000+","250,000+","***","***",
"8600000US10301","ZCTA5 10301","69508","null","13714","null",
"8600000US10302","ZCTA5 10302","121500","null","40429","null",
"8600000US10303","ZCTA5 10303","75361","null","13313","null",
"8600000US10304","ZCTA5 10304","103359","null","38336","null",
"8600000US10305","ZCTA5 10305","76237","null","10276","null",
"8600000US10306","ZCTA5 10306","80536","null","15804","null",
"8600000US10307","ZCTA5 10307","190263","null","34663","null",
"8600000US10308","ZCTA5 10308","72308","null","29590","null",
"8600000US10309","ZCTA5 10309","104000","null","11413","null",
"8600000US10310","ZCTA5 10310","73382","null","16003","null",
"8600000US10311","ZCTA5 10311","-","-","**","**",
"8600000US10312","ZCTA5 10312","83299","null","13018","null",
"8600000US10314","ZCTA5 10314","98237","null","12024","null",
"8600000US10451","ZCTA5 10451","39444","null","20191","null",
"8600000US10452","ZCTA5 10452","35278","null","19709","null",
"8600000US10453","ZCTA5 10453","36369","null","10746","null",
"8600000US10454","ZCTA5 10454","-","-","**","**",
"8600000US10455","ZCTA5 10455","90476","null","64141","null",
"8600000US10456","ZCTA5 10456","31333","null","29607","null",
"8600000US10457","ZCTA5 10457","53529","null","36369","null",
"8600000US10458","ZCTA5 10458","47716","null","7832","null",
"8600000US10459","ZCTA5 10459","-","-","**","**",
"8600000US10460","ZCTA5 10460","62750","null","10919","null",
"8600000US10461","ZCTA5 10461","73661","null","21860","null",
"8600000US10462","ZCTA5 10462","53426","null","7856","null",
"8600000US10463","ZCTA5 10463","79361","null","14923","null",
"8600000US10464","ZCTA5 10464","235368","null","118293","null",
"8600000US10465","ZCTA5 10465","80958","null","18712","null",
"8600000US10466","ZCTA5 10466","72766","null","14912","null",
"8600000US10467","ZCTA5 10467","47807","null","9897","null",
"8600000US10468","ZCTA5 10468","51125","null","15174","null",
"8600000US10469","ZCTA5 10469","58177","null","6007","null",
"8600000US10470","ZCTA5 10470","63393","null","25864","null",
"8600000US10471","ZCTA5 10471","68676","null","32129","null",
"8600000US10472","ZCTA5 10472","67054","null","28295","null",
"8600000US10473","ZCTA5 10473","100703","null","52048","null",
"8600000US10474","ZCTA5 10474","-","-","**","**",
"8600000US10475","ZCTA5 10475","25169","null","24646","null",
"8600000US10501","ZCTA5 10501","-","-","**","**",
"8600000US10502","ZCTA5 10502","220625","null","98709","null",
"8600000US10503","ZCTA5 10503","-","-","**","**",
"8600000US10504","ZCTA5 10504","-","-","**","**",
"8600000US10505","ZCTA5 10505","250,000+","250,000+","***","***",
"8600000US10506","ZCTA5 10506","245469","null","87151","null",
"8600000US10507","ZCTA5 10507","50809","null","8246","null",
"8600000US10509","ZCTA5 10509","125870","null","73476","null",
"8600000US10510","ZCTA5 10510","250,000+","250,000+","***","***",
"8600000US10511","ZCTA5 10511","-","-","**","**",
"8600000US10512","ZCTA5 10512","93250","null","41858","null",
"8600000US10514","ZCTA5 10514","241500","null","76023","null",
"8600000US10516","ZCTA5 10516","34091","null","32716","null",
"8600000US10517","ZCTA5 10517","-","-","**","**",
"8600000US10518","ZCTA5 10518","-","-","**","**",
"8600000US10519","ZCTA5 10519","-","-","**","**",
"8600000US10520","ZCTA5 10520","-","-","**","**",
"8600000US10522","ZCTA5 10522","196250","null","143882","null",
"8600000US10523","ZCTA5 10523","128542","null","35032","null",
"8600000US10524","ZCTA5 10524","-","-","**","**",
"8600000US10526","ZCTA5 10526","10938","null","7167","null",
"8600000US10527","ZCTA5 10527","-","-","**","**",
"8600000US10528","ZCTA5 10528","131771","null","66195","null",
"8600000US10530","ZCTA5 10530","139740","null","24034","null",
"8600000US10532","ZCTA5 10532","195469","null","134326","null",
"8600000US10533","ZCTA5 10533","174844","null","49346","null",
"8600000US10535","ZCTA5 10535","-","-","**","**",
"8600000US10536","ZCTA5 10536","163155","null","3203","null",
"8600000US10537","ZCTA5 10537","-","-","**","**",
"8600000US10538","ZCTA5 10538","202104","null","41805","null",
"8600000US10541","ZCTA5 10541","132054","null","118514","null",
"8600000US10543","ZCTA5 10543","165625","null","73690","null",
"8600000US10545","ZCTA5 10545","-","-","**","**",
"8600000US10546","ZCTA5 10546","-","-","**","**",
"8600000US10547","ZCTA5 10547","228173","null","51175","null",
"8600000US10548","ZCTA5 10548","-","-","**","**",
"8600000US10549","ZCTA5 10549","163313","null","70560","null",
"8600000US10550","ZCTA5 10550","87679","null","54079","null",
"8600000US10552","ZCTA5 10552","83750","null","67424","null",
"8600000US10553","ZCTA5 10553","-","-","**","**",
"8600000US10560","ZCTA5 10560","-","-","**","**",
"8600000US10562","ZCTA5 10562","101375","null","37832","null",
"8600000US10566","ZCTA5 10566","83281","null","50969","null",
"8600000US10567","ZCTA5 10567","191429","null","16731","null",
"8600000US10570","ZCTA5 10570","183438","null","69952","null",
