"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"8600000US06390","ZCTA5 06390","61125","null","8799","null",
"8600000US10001","ZCTA5 10001","123446","null","12452","null",
"8600000US10002","ZCTA5 10002","94255","null","4811","null",
"8600000US10003","ZCTA5 10003","125160","null","10165","null",
"8600000US10004","ZCTA5 10004","190446","null","47009","null",
"8600000US10005","ZCTA5 10005","197399","null","15712","null",
"8600000US10006","ZCTA5 10006","214438","null","27265","null",
"8600000US10007","ZCTA5 10007","226094","null","51200","null",
"8600000US10009","ZCTA5 10009","93630","null","11137","null",
"8600000US10010","ZCTA5 10010","139547","null","14486","null",
"8600000US10011","ZCTA5 10011","156495","null","12382","null",
"8600000US10012","ZCTA5 10012","117315","null","9328","null",
"8600000US10013","ZCTA5 10013","199917","null","26177","null",
"8600000US10014","ZCTA5 10014","138164","null","10311","null",
"8600000US10016","ZCTA5 10016","131257","null","8455","null",
"8600000US10017","ZCTA5 10017","136063","null","13345","null",
"8600000US10018","ZCTA5 10018","156071","null","27241","null",
"8600000US10019","ZCTA5 10019","118256","null","12766","null",
"8600000US10020","ZCTA5 10020","-","-","**","**",
"8600000US10021","ZCTA5 10021","128125","null","16007","null",
"8600000US10022","ZCTA5 10022","150859","null","19633","null",
"8600000US10023","ZCTA5 10023","142762","null","12509","null",
"8600000US10024","ZCTA5 10024","161325","null","25091","null",
"8600000US10025","ZCTA5 10025","130038","null","10550","null",
"8600000US10026","ZCTA5 10026","131467","null","21069","null",
"8600000US10027","ZCTA5 10027","107746","null","9864","null",
"8600000US10028","ZCTA5 10028","127672","null","11194","null",
"8600000US10029","ZCTA5 10029","91238","null","6909","null",
"8600000US10030","ZCTA5 10030","84802","null","13357","null",
"8600000US10031","ZCTA5 10031","100398","null","10382","null",
"8600000US10032","ZCTA5 10032","81269","null","9583","null",
"8600000US10033","ZCTA5 10033","100775","null","5578","null",
"8600000US10034","ZCTA5 10034","85836","null","4633","null",
"8600000US10035","ZCTA5 10035","94375","null","15650","null",
"8600000US10036","ZCTA5 10036","106646","null","11407","null",
"8600000US10037","ZCTA5 10037","96198","null","15362","null",
"8600000US10038","ZCTA5 10038","147083","null","34500","null",
"8600000US10039","ZCTA5 10039","87027","null","11102","null",
"8600000US10040","ZCTA5 10040","77769","null","6018","null",
"8600000US10044","ZCTA5 10044","98068","null","25137","null",
"8600000US10065","ZCTA5 10065","150063","null","16599","null",
"8600000US10069","ZCTA5 10069","128564","null","62460","null",
"8600000US10075","ZCTA5 10075","138651","null","23008","null",
"8600000US10103","ZCTA5 10103","-","-","**","**",
"8600000US10110","ZCTA5 10110","-","-","**","**",
"8600000US10111","ZCTA5 10111","-","-","**","**",
"8600000US10112","ZCTA5 10112","-","-","**","**",
"8600000US10115","ZCTA5 10115","-","-","**","**",
"8600000US10119","ZCTA5 10119","-","-","**","**",
"8600000US10128","ZCTA5 10128","126090","null","3822","null",
"8600000US10152","ZCTA5 10152","-","-","**","**",
"8600000US10153","ZCTA5 10153","-","-","**","**",
"8600000US10154","ZCTA5 10154","-","-","**","**",
"8600000US10162","ZCTA5 10162","-","-","**","**",
"8600000US10165","ZCTA5 10165","-","-","**","**",
"8600000US10167","ZCTA5 10167","-","-","**","**",
"8600000US10168","ZCTA5 10168","-","-","**","**",
"8600000US10169","ZCTA5 10169","-","-","**","**",
"8600000US10170","ZCTA5 10170","-","-","**","**",
"8600000US10171","ZCTA5 10171","-","-","**","**",
"8600000US10172","ZCTA5 10172","-","-","**","**",
"8600000US10173","ZCTA5 10173","-","-","**","**",
"8600000US10174","ZCTA5 10174","-","-","**","**",
"8600000US10177","ZCTA5 10177","-","-","**","**",
"8600000US10199","ZCTA5 10199","-","-","**","**",
"8600000US10271","ZCTA5 10271","-","-","**","**",
"8600000US10278","ZCTA5 10278","-","-","**","**",
"8600000US10279","ZCTA5 10279","-","-","**","**",
"8600000US10280","ZCTA5 10280","184438","null","37004","null",
"8600000US10282","ZCTA5 10282","250,000+","250,000+","***","***",
"8600000US10301","ZCTA5 10301","82418","null","8857","null",
"8600000US10302","ZCTA5 10302","82083","null","24107","null",
"8600000US10303","ZCTA5 10303","82813","null","10493","null",
"8600000US10304","ZCTA5 10304","90198","null","10649","null",
"8600000US10305","ZCTA5 10305","91524","null","4748","null",
"8600000US10306","ZCTA5 10306","84065","null","3556","null",
"8600000US10307","ZCTA5 10307","85426","null","10145","null",
"8600000US10308","ZCTA5 10308","104956","null","4302","null",
"8600000US10309","ZCTA5 10309","110855","null","11327","null",
"8600000US10310","ZCTA5 10310","100435","null","7148","null",
"8600000US10311","ZCTA5 10311","-","-","**","**",
"8600000US10312","ZCTA5 10312","101288","null","5440","null",
"8600000US10314","ZCTA5 10314","93357","null","5402","null",
"8600000US10451","ZCTA5 10451","42422","null","29233","null",
"8600000US10452","ZCTA5 10452","23056","null","12589","null",
"8600000US10453","ZCTA5 10453","26500","null","25589","null",
"8600000US10454","ZCTA5 10454","97222","null","18118","null",
"8600000US10455","ZCTA5 10455","22813","null","19111","null",
"8600000US10456","ZCTA5 10456","40850","null","27783","null",
"8600000US10457","ZCTA5 10457","-","-","**","**",
"8600000US10458","ZCTA5 10458","34351","null","7527","null",
"8600000US10459","ZCTA5 10459","-","-","**","**",
"8600000US10460","ZCTA5 10460","36875","null","23924","null",
"8600000US10461","ZCTA5 10461","62912","null","3880","null",
"8600000US10462","ZCTA5 10462","52019","null","6050","null",
"8600000US10463","ZCTA5 10463","84576","null","6550","null",
"8600000US10464","ZCTA5 10464","98581","null","22272","null",
"8600000US10465","ZCTA5 10465","77304","null","7821","null",
"8600000US10466","ZCTA5 10466","35303","null","7005","null",
"8600000US10467","ZCTA5 10467","40258","null","2994","null",
"8600000US10468","ZCTA5 10468","37208","null","15565","null",
"8600000US10469","ZCTA5 10469","74417","null","10264","null",
"8600000US10470","ZCTA5 10470","77692","null","12742","null",
"8600000US10471","ZCTA5 10471","95842","null","10546","null",
"8600000US10472","ZCTA5 10472","29732","null","3510","null",
"8600000US10473","ZCTA5 10473","68333","null","58463","null",
"8600000US10474","ZCTA5 10474","-","-","**","**",
"8600000US10475","ZCTA5 10475","32899","null","11394","null",
"8600000US10501","ZCTA5 10501","210000","null","49078","null",
"8600000US10502","ZCTA5 10502","156250","null","36065","null",
"8600000US10503","ZCTA5 10503","81458","null","28089","null",
"8600000US10504","ZCTA5 10504","220781","null","23731","null",
"8600000US10505","ZCTA5 10505","140313","null","112229","null",
"8600000US10506","ZCTA5 10506","233158","null","42273","null",
"8600000US10507","ZCTA5 10507","104750","null","19204","null",
"8600000US10509","ZCTA5 10509","117610","null","14777","null",
"8600000US10510","ZCTA5 10510","189938","null","14736","null",
"8600000US10511","ZCTA5 10511","110494","null","7813","null",
"8600000US10512","ZCTA5 10512","95449","null","8194","null",
"8600000US10514","ZCTA5 10514","250,000+","250,000+","***","***",
"8600000US10516","ZCTA5 10516","110192","null","10699","null",
"8600000US10517","ZCTA5 10517","107321","null","52056","null",
"8600000US10518","ZCTA5 10518","198309","null","148004","null",
"8600000US10519","ZCTA5 10519","250,000+","250,000+","***","***",
"8600000US10520","ZCTA5 10520","120915","null","14965","null",
"8600000US10522","ZCTA5 10522","146758","null","12490","null",
"8600000US10523","ZCTA5 10523","89167","null","18451","null",
"8600000US10524","ZCTA5 10524","127000","null","6172","null",
"8600000US10526","ZCTA5 10526","149674","null","43424","null",
"8600000US10527","ZCTA5 10527","183456","null","36230","null",
"8600000US10528","ZCTA5 10528","112097","null","18870","null",
"8600000US10530","ZCTA5 10530","109852","null","10630","null",
"8600000US10532","ZCTA5 10532","102969","null","32854","null",
"8600000US10533","ZCTA5 10533","157941","null","29238","null",
"8600000US10535","ZCTA5 10535","-","-","**","**",
"8600000US10536","ZCTA5 10536","194600","null","24249","null",
"8600000US10537","ZCTA5 10537","97500","null","24409","null",
"8600000US10538","ZCTA5 10538","213021","null","19457","null",
"8600000US10541","ZCTA5 10541","112566","null","10960","null",
"8600000US10543","ZCTA5 10543","122750","null","18842","null",
"8600000US10545","ZCTA5 10545","-","-","**","**",
"8600000US10546","ZCTA5 10546","239010","null","50381","null",
"8600000US10547","ZCTA5 10547","81466","null","40707","null",
"8600000US10548","ZCTA5 10548","93200","null","18419","null",
"8600000US10549","ZCTA5 10549","124297","null","15742","null",
"8600000US10550","ZCTA5 10550","63750","null","41831","null",
"8600000US10552","ZCTA5 10552","78730","null","9712","null",
"8600000US10553","ZCTA5 10553","77639","null","57269","null",
"8600000US10560","ZCTA5 10560","130658","null","26206","null",
"8600000US10562","ZCTA5 10562","105497","null","8271","null",
"8600000US10566","ZCTA5 10566","76950","null","11570","null",
"8600000US10567","ZCTA5 10567","136397","null","9516","null",
"8600000US10570","ZCTA5 10570","160967","null","12329","null",
"8600000US10573","ZCTA5 10573","113125","null","10561","null",
"8600000US10576","ZCTA5 10576","196938","null","19570","null",
"8600000US10577","ZCTA5 10577","163836","null","100699","null",
"8600000US10578","ZCTA5 10578","111541","null","14712","null",
"8600000US10579","ZCTA5 10579","106875","null","19172","null",
"8600000US10580","ZCTA5 10580","205712","null","17107","null",
