Zip,Min.,Medium.,Max.,Med/TotPop,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_AmerIndian,Tot_Asian,Tot_PacificIsla,Tot_Other,Tot_Two&More,Pro_Hisp/Lati,Pro_White,Pro_Black/AfricanAmer,Pro_AmerIndian,Pro_Asian,Pro_PacificIsla,Pro_Other,Pro_Two&More,Inc_Hisp/Lati,Error Range,Inc_White,Error Range,Inc_Black/AfricanAmer,Error Range,Inc_Asian,Error Range
10034,245,425,605,0.01,36833.45,25238.37,7252.36,2355.51,30.21,788.84,6.98,297.88,863.29,69%,20%,6%,0%,2%,0%,1%,2%,41316,6016,69805,8842,45579,13267,79674,24750
10039,15,95,175,0.00,29513.60,8484.45,1965.45,17127.60,81.51,690.35,14.76,197.24,952.24,29%,7%,58%,0%,2%,0%,1%,3%,33527,3088,70600,15368,41731,8144,44896,34712
10040,80,80,80,0.00,39879.46,26546.75,9118.91,1896.87,38.55,1070.36,10.61,327.27,870.16,67%,23%,5%,0%,3%,0%,1%,2%,37672,2852,66364,6684,43709,9326,62946,23958
10451,15,427.5,1860,0.01,52056.22,30321.21,1600.48,17932.87,69.95,761.31,12.98,440.00,917.41,58%,3%,34%,0%,1%,0%,1%,2%,28176,2744,29663,6152,30703,2732,39444,20191
10452,65,410,1615,0.01,77857.30,53661.51,1322.49,19973.39,142.44,1155.07,23.74,599.93,978.74,69%,2%,26%,0%,1%,0%,1%,1%,28408,2719,29345,5189,31241,2909,35278,19709
10453,30,285,700,0.00,82542.33,55791.72,1292.82,22192.26,179.63,1167.04,20.19,676.90,1221.77,68%,2%,27%,0%,1%,0%,1%,1%,27240,2906,21515,4792,32488,3828,36369,10746
10454,15,202.5,920,0.01,40067.71,27365.85,1153.44,10270.24,81.39,307.55,10.01,242.68,636.56,68%,3%,26%,0%,1%,0%,1%,2%,20409,2287,31845,10132,19716,6975,0,**
10455,30,420,1735,0.01,44742.28,31035.72,892.29,11330.03,56.32,431.35,11.90,371.21,613.47,69%,2%,25%,0%,1%,0%,1%,1%,27769,4479,25994,4748,28522,3253,90476,64141
10456,90,399.5,1010,0.00,92318.33,53419.49,1758.51,33864.80,143.78,959.13,23.97,675.04,1473.62,58%,2%,37%,0%,1%,0%,1%,2%,27933,3429,25720,6062,30880,2714,31333,29607
10457,30,265,915,0.00,74592.27,48616.18,1391.90,21795.02,161.51,868.68,29.23,646.84,1082.92,65%,2%,29%,0%,1%,0%,1%,1%,29151,2971,24182,4265,30303,3273,53529,36369
10458,30,275,940,0.00,78170.92,52044.83,7158.01,13768.70,164.56,2805.02,23.29,882.80,1323.71,67%,9%,18%,0%,4%,0%,1%,2%,35429,2490,32315,3643,35441,4218,47716,7832
10459,75,422.5,730,0.01,50880.52,33917.21,888.42,14478.02,78.46,368.81,10.70,421.37,717.51,67%,2%,28%,0%,1%,0%,1%,1%,28141,2533,21912,4493,32224,4409,0,**
10460,15,225,715,0.00,62540.54,40280.25,1683.30,17403.40,157.26,1274.92,23.45,684.08,1033.87,64%,3%,28%,0%,2%,0%,1%,2%,26236,1916,26316,3677,29359,4824,62750,10919
10461,10,202.5,870,0.00,54531.70,24111.74,16859.49,4210.86,97.77,7486.04,24.84,681.47,1059.49,44%,31%,8%,0%,14%,0%,1%,2%,56128,6378,62992,3687,48537,8859,73661,21860
