Zip,Min.,Medium.,Max.,Med/TotPop,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_AmerIndian,Tot_Asian,Tot_PacificIsla,Tot_Other,Tot_Two&More,Pro_Hisp/Lati,Pro_White,Pro_Black/AfricanAmer,Pro_AmerIndian,Pro_Asian,Pro_PacificIsla,Pro_Other,Pro_Two&More,Inc_Hisp/Lati,Error Range,Inc_White,Error Range,Inc_Black/AfricanAmer,Error Range,Inc_Asian,Error Range
10001,65,1845,5420,0.06,29312.95,5899.63,14001.55,2535.04,58.15,5525.08,30.99,193.22,1069.29,20%,48%,9%,0%,19%,0%,1%,4%,76167,26028,117266,15717,44952,30850,62022,18635
10002,75,850,1315,0.01,81855.79,20165.12,19388.69,6548.89,76.18,33051.09,26.23,546.84,2052.75,25%,24%,8%,0%,40%,0%,1%,3%,25417,2887,75577,6032,19454,12374,26925,3192
10003,950,2311,3615,0.04,52991.51,5040.26,35431.50,2017.26,33.35,7408.13,37.23,460.44,2563.34,10%,67%,4%,0%,14%,0%,1%,5%,57734,37200,123346,7395,61411,36385,84750,28661
10004,240,6090,10295,1.68,3632.96,363.26,2165.81,171.95,0.27,699.86,3.32,39.43,189.06,10%,60%,5%,0%,19%,0%,1%,5%,136319,101785,190313,48223,200871,50941,137891,130901
10005,1435,6409.5,9765,0.60,10642.15,947.82,6806.17,377.99,6.79,1912.00,10.52,91.38,489.48,9%,64%,4%,0%,18%,0%,1%,5%,201708,29302,200172,13191,188705,40958,140739,53146
10006,3110,3110,3110,0.81,3851.44,372.17,2380.59,120.49,0.00,745.05,0.00,34.94,198.20,10%,62%,3%,0%,19%,0%,1%,5%,116389,72736,191483,29305,182228,181682,100208,43416
10007,110,2040,2870,0.51,4028.88,289.96,2699.87,80.36,1.59,661.08,2.65,36.09,257.27,7%,67%,2%,0%,16%,0%,1%,6%,"250,000",***,249444,46879,0,**,0,**
10009,100,665,1310,0.01,63359.15,15219.56,30844.60,4699.08,91.13,9536.40,39.33,479.14,2449.91,24%,49%,7%,0%,15%,0%,1%,4%,34041,6730,86800,5444,22121,12745,39120,21709
10010,70,2950,5485,0.09,34459.39,3859.12,21319.45,1969.47,35.15,5334.83,87.30,346.96,1507.12,11%,62%,6%,0%,15%,0%,1%,4%,42003,37769,132530,9101,0,**,142426,41882
10011,40,2120,5365,0.04,53610.03,6632.61,36247.64,2387.92,55.39,5567.09,34.05,438.69,2246.64,12%,68%,4%,0%,10%,0%,1%,4%,54241,27510,147946,13221,19400,15987,156179,24558
10012,520,1887.5,3905,0.08,24702.74,2185.62,16540.62,630.59,12.39,3909.42,14.22,183.34,1226.54,9%,67%,3%,0%,16%,0%,1%,5%,95510,39513,117977,9571,42156,34375,73036,20373
10013,1325,2250,6855,0.08,29674.71,2413.91,15819.09,1244.06,26.64,8490.23,14.88,246.94,1418.97,8%,53%,4%,0%,29%,0%,1%,5%,136618,79234,200769,27180,56117,19687,41587,15543
10014,40,1147.5,5395,0.03,33110.15,2553.65,25898.39,706.52,14.49,2262.10,13.88,249.34,1411.79,8%,78%,2%,0%,7%,0%,1%,4%,104806,28402,134866,9263,82361,45457,166779,81851
10016,1930,3447.5,5490,0.06,57951.43,5382.51,35934.68,2496.59,42.46,11461.80,63.63,410.32,2159.43,9%,62%,4%,0%,20%,0%,1%,4%,77596,38936,128214,6504,105808,67938,124561,19589
10017,145,5842.5,9835,0.35,16856.07,1299.54,10162.05,526.49,7.49,4032.57,8.06,143.67,676.20,8%,60%,3%,0%,24%,0%,1%,4%,0,**,135824,11848,84886,18355,127652,39415
10018,95,4665,7654,0.47,9831.56,1621.88,3987.19,1175.63,14.93,2588.38,8.31,53.62,381.62,16%,41%,12%,0%,26%,0%,1%,4%,90477,12024,142478,14396,45826,32785,108938,23973
10019,415,4129.5,8600,0.09,47635.40,7892.65,24942.54,2884.91,26.80,9720.42,11.72,360.63,1795.72,17%,52%,6%,0%,20%,0%,1%,4%,40755,13577,107247,7850,24111,16090,139632,26108
10021,1010,2040,5440,0.05,44358.74,2889.86,34872.87,612.56,17.48,4321.31,5.82,259.55,1379.29,7%,79%,1%,0%,10%,0%,1%,3%,74824,50976,125608,15431,0,**,108167,47066
