Zip,Min.,Medium.,Avg.,Max.,Med/TotPop,Avg/TotPop,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_AmerIndian,Tot_Asian,Tot_PacificIsla,Tot_Other,Tot_Two&More,Pro_Hisp/Lati,Pro_White,Pro_Black/AfricanAmer,Pro_AmerIndian,Pro_Asian,Pro_PacificIsla,Pro_Other,Pro_Two&More,Inc_Hisp/Lati,Error Range,Inc_White,Error Range,Inc_Black/AfricanAmer,Error Range,Inc_Asian,Error Range
10017,160,160,160,160,0.009492129,0.009492129,16856.1,1299.5,10162,526.5,7.5,4032.6,8.1,143.7,676.2,0.0771,0.6029,0.0312,0.0004,0.2392,0.0005,0.0085,0.0401,0,**,135824,11848,84886,18355,127652,39415
10038,225,225,225,225,0.009059458,0.009059458,24835.9,3571.7,11049.7,1746,16.6,7290.9,20.4,171.1,969.5,0.1438,0.4449,0.0703,0.0007,0.2936,0.0008,0.0069,0.039,35068,9241,133723,14565,35968,15958,36044,8958
10044,395,395,395,395,0.082446253,0.082446253,4791,686,1512,585,108,1574,80,35,211,0.1432,0.3156,0.1221,0.0225,0.3285,0.0167,0.0073,0.044,49520,29129,93352,22052,110224,81688,123547,17385
10162,50,50,50,50,0.026191302,0.026191302,1909,149.7,1381.3,38.5,1.3,245.4,1.3,8.8,82.7,0.0784,0.7236,0.0202,0.0007,0.1285,0.0007,0.0046,0.0433,0,**,161083,141928,0,**,0,**
10454,60,60,60,60,0.001497465,0.001497465,40067.7,27365.8,1153.4,10270.2,81.4,307.5,10,242.7,636.6,0.683,0.0288,0.2563,0.002,0.0077,0.0002,0.0061,0.0159,20409,2287,31845,10132,19716,6975,0,**
11005,50,50,50,50,0.015660395,0.015660395,3192.8,84.2,2452.6,25.8,0.2,564.4,0.5,11.5,53.6,0.0264,0.7682,0.0081,0,0.1768,0.0001,0.0036,0.0168,0,**,53967,30130,0,**,0,**
11101,25,502.5,568.9130435,1995,0.010394216,0.01176797,48344.2,10308,15608.3,5443.4,68.8,14270,32.8,614.3,1998.5,0.2132,0.3229,0.1126,0.0014,0.2952,0.0007,0.0127,0.0413,45676,6764,103795,11017,28750,10457,103036,19044
11102,70,300,568.9130435,1650,0.007956295,0.015088134,37706,10350.3,16949.6,2986.8,76.9,5244.6,16,513.5,1568.2,0.2745,0.4495,0.0792,0.002,0.1391,0.0004,0.0136,0.0416,44079,10052,79295,7060,38041,8451,76912,11961
11103,100,335,331.9230769,555,0.009020286,0.008937436,37138.5,9170.3,19761.6,707.2,26.2,5149.5,8.3,616.1,1699.2,0.2469,0.5321,0.019,0.0007,0.1387,0.0002,0.0166,0.0458,65646,4858,80813,3982,102083,22025,70530,15818
11104,15,200,372.3076923,870,0.006982478,0.012998152,28643.1,8947.8,10773.3,720.8,22.2,6980.9,20.8,258.3,919,0.3124,0.3761,0.0252,0.0008,0.2437,0.0007,0.009,0.0321,55565,4931,71915,3663,54868,14958,54293,9746
11105,30,197.5,368.75,2335,0.005257097,0.009815465,37568.3,7330.6,23567.1,784.8,25.8,3996,7.8,430.5,1425.7,0.1951,0.6273,0.0209,0.0007,0.1064,0.0002,0.0115,0.038,64957,6501,80168,4697,79178,16239,82841,16092
11106,75,495,482.6315789,870,0.011664159,0.01137271,42437.7,11062.7,17860.8,3128,59.1,7878.3,18.1,651.2,1779.5,0.2607,0.4209,0.0737,0.0014,0.1856,0.0004,0.0153,0.0419,54779,10326,78440,4659,38458,9691,60297,8686
11109,100,450,597.2222222,1465,0.055092121,0.073116087,8168.1,946.5,4322.7,281.1,1.3,2058.3,1.3,159.3,397.6,0.1159,0.5292,0.0344,0.0002,0.252,0.0002,0.0195,0.0487,0,**,166971,41410,0,**,151698,65081
11201,50,950,1594.032258,6785,0.01394174,0.023393246,68140.7,7724,39194,7065.7,72.5,9876.2,7.8,489.8,3710.6,0.1134,0.5752,0.1037,0.0011,0.1449,0.0001,0.0072,0.0545,45330,8298,154712,5193,41211,6081,99792,18425
11203,50,375,545,4640,0.004546018,0.00660688,82489.8,5935.3,4574.1,63449.3,149.6,1671.2,27.2,1113,5570.1,0.072,0.0555,0.7692,0.0018,0.0203,0.0003,0.0135,0.0675,42233,7908,55056,15432,55187,2048,39688,21967
11204,70,297.5,303.3333333,655,0.003444557,0.003512098,86368.1,11634.2,42670.7,831.5,41.7,27513.3,14.5,1479.7,2182.6,0.1347,0.4941,0.0096,0.0005,0.3186,0.0002,0.0171,0.0253,51667,6368,49414,4406,50905,49615,60536,5452
11205,100,410,461.5217391,1000,0.008356756,0.009406889,49062.1,7785.9,23395.9,10699.3,97.3,4019.5,18.8,1037.9,2007.5,0.1587,0.4769,0.2181,0.002,0.0819,0.0004,0.0212,0.0409,41667,7101,90707,5949,39505,3697,53661,26035
11206,130,550,599.0740741,1365,0.005998454,0.006533669,91690.3,31330.1,32736.6,17028.9,126.5,6384.2,44.8,1239.8,2799.4,0.3417,0.357,0.1857,0.0014,0.0696,0.0005,0.0135,0.0305,29911,2945,56108,5907,27720,3910,41816,15204
11207,40,195,236.5555556,670,0.001932939,0.002344859,100882.7,34419.9,5142.6,53119.8,268.5,2158.9,48.9,1109.5,4614.4,0.3412,0.051,0.5266,0.0027,0.0214,0.0005,0.011,0.0457,35114,3414,50947,6555,38590,2995,55263,21486
11208,0,140,158.9583333,915,0.001375294,0.001561532,101796.4,43527.4,2062.3,35845.8,470.6,12751.3,26.8,2639,4473.2,0.4276,0.0203,0.3521,0.0046,0.1253,0.0003,0.0259,0.0439,47535,4619,50007,4137,40706,2104,59432,12294
11209,40,305,316.0606061,980,0.004153994,0.004304636,73423.3,13496.1,44820.8,1569,59.6,10513,5.9,622.1,2336.9,0.1838,0.6104,0.0214,0.0008,0.1432,0.0001,0.0085,0.0318,72335,5614,80482,3547,67824,9429,78160,11940
11210,50,280,388.1034483,2665,0.004583617,0.006353277,61087.1,5338.9,16507.8,31653.4,98.9,3233.6,11,883.9,3359.6,0.0874,0.2702,0.5182,0.0016,0.0529,0.0002,0.0145,0.055,54894,8072,98624,7116,62077,4176,75875,20732
11211,30,460,479.2857143,1685,0.006736692,0.007019131,68282.8,16186.7,42106.4,2384.5,68,4111.7,21.7,936.2,2467.6,0.2371,0.6166,0.0349,0.001,0.0602,0.0003,0.0137,0.0361,43559,4758,90870,3292,48523,13357,103750,16541
11212,25,345,404.2424242,1865,0.003746124,0.004389398,92095.2,16927.1,1526.5,67167.8,231.2,821.7,28,849.1,4543.8,0.1838,0.0166,0.7293,0.0025,0.0089,0.0003,0.0092,0.0493,18948,3083,25075,6490,28457,2272,28867,6953
11213,190,480,480.2083333,910,0.007082473,0.007085547,67772.9,7998.8,16474.6,36724.5,80.4,1633.3,12.8,1471.1,3377.5,0.118,0.2431,0.5419,0.0012,0.0241,0.0002,0.0217,0.0498,39688,8894,73075,3736,41677,2548,73911,12640
11214,70,280,319,830,0.002921826,0.003328794,95830.5,14633.2,37196.8,1365.7,64,39246.4,15.3,437,2872.1,0.1527,0.3882,0.0143,0.0007,0.4095,0.0002,0.0046,0.03,63152,3856,53012,3067,73981,33765,63671,5908
11215,75,415,420.1612903,0,0.006099144,0.006174998,68042.3,10313.2,44541.3,2857.7,56.8,5704.5,20.1,534,4014.6,0.1516,0.6546,0.042,0.0008,0.0838,0.0003,0.0078,0.059,82065,13955,141206,6143,56875,42506,138750,27480
11216,75,495,460,980,0.008360099,0.007768981,59209.8,7250.3,17335,27007.4,115,3373.4,17.9,582.6,3528.2,0.1225,0.2928,0.4561,0.0019,0.057,0.0003,0.0098,0.0596,58969,10577,105781,7558,49773,3097,86131,11515
11217,305,620,823.8461538,3200,0.014918279,0.019823173,41559.8,6877.6,20580.8,7260.5,53.6,4038.2,19.7,331,2398.3,0.1655,0.4952,0.1747,0.0013,0.0972,0.0005,0.008,0.0577,47979,8373,148659,5304,50625,10899,153800,25298
11218,120,390,433.7096774,790,0.004942571,0.005496515,78906.3,13433.1,37458.4,5624,105.6,17408.1,8.3,1282.7,3586.1,0.1702,0.4747,0.0713,0.0013,0.2206,0.0001,0.0163,0.0454,50357,8638,80728,2762,74156,5591,55500,7737
11219,120,440,411.5384615,660,0.004282368,0.004005361,102746.9,12373.3,57858.4,1020.8,50.1,25910.5,8.4,3513.3,2012.1,0.1204,0.5631,0.0099,0.0005,0.2522,0.0001,0.0342,0.0196,47031,8870,38087,2187,74844,45590,46012,4345
11220,60,430,509.1428571,2850,0.004012069,0.004750503,107176.6,39104.1,14317.8,1791.9,103.2,49823.4,17,626.4,1392.9,0.3649,0.1336,0.0167,0.001,0.4649,0.0002,0.0058,0.013,44785,3517,54895,3991,59688,18205,47641,4025
11221,105,425,452.826087,975,0.004763629,0.005075519,89217.7,30138.5,18546.5,31402.7,198.3,4247.2,51.6,798,3834.8,0.3378,0.2079,0.352,0.0022,0.0476,0.0006,0.0089,0.043,43750,4663,81589,4937,50529,4369,66350,17683
11222,105,260,267.4074074,450,0.006205,0.006381781,41901.7,6720,28973.3,1416.2,48.9,2669.1,12.4,302.9,1758.8,0.1604,0.6915,0.0338,0.0012,0.0637,0.0003,0.0072,0.042,71262,7380,95251,6010,67176,32496,82273,50025
11223,20,245,262.3684211,635,0.002975066,0.003185973,82351.1,11915.5,40455.2,3081.2,36.3,23911.2,9.9,606.1,2335.8,0.1447,0.4913,0.0374,0.0004,0.2904,0.0001,0.0074,0.0284,34803,15723,57416,5969,24043,8861,64182,8156
11224,20,312.5,350.3125,760,0.006462436,0.007244391,48356.4,8563,23632.9,10130.9,58.8,4275.4,23,373.1,1299.2,0.1771,0.4887,0.2095,0.0012,0.0884,0.0005,0.0077,0.0269,26885,5951,34204,3850,30417,8477,40581,10262
11225,65,520,480.5882353,995,0.008944307,0.008266402,58137.5,6389.7,14799.4,30879.6,83.5,1853.2,14.1,861.7,3256.2,0.1099,0.2546,0.5311,0.0014,0.0319,0.0002,0.0148,0.056,48821,24970,85686,7613,50503,3852,63902,24139
11226,105,497.5,494.8214286,1110,0.004919533,0.004893046,101127.5,17353.6,13388.6,58585.7,191.8,4962.4,30.6,1083.1,5531.8,0.1716,0.1324,0.5793,0.0019,0.0491,0.0003,0.0107,0.0547,49010,6551,86875,4018,51579,2575,66761,8804
11228,35,240,245,710,0.005298278,0.005408659,45297.7,6014.9,20299.5,339,31.7,17700.9,11.3,173.6,727,0.1328,0.4481,0.0075,0.0007,0.3908,0.0002,0.0038,0.016,57318,8386,72359,5936,68088,50854,80746,5651
11229,60,225,287.7027027,905,0.002832192,0.003621464,79443.8,7520.7,46125.1,4212.5,70.1,18111.9,17.2,511.1,2875.2,0.0947,0.5806,0.053,0.0009,0.228,0.0002,0.0064,0.0362,57880,11458,66977,4770,40317,7472,71774,6126
11230,135,310,380.3030303,920,0.003361165,0.004123423,92229.9,9181.1,55206.3,7035.2,60,15511.5,15.6,1361.2,3858.9,0.0995,0.5986,0.0763,0.0007,0.1682,0.0002,0.0148,0.0418,49269,8568,52889,3303,63795,6459,43051,5344
11231,20,245,270.6818182,660,0.006671279,0.007370588,36724.6,6943.8,21419.8,3869.8,30.8,2197.2,17.5,273.5,1972.3,0.1891,0.5833,0.1054,0.0008,0.0598,0.0005,0.0074,0.0537,25254,6696,143702,13130,30198,10072,137031,90134
11232,15,325,359.3478261,905,0.010880184,0.012030063,29870.8,14338.7,7178.5,1924.3,32.1,5350.6,10.9,241,794.7,0.48,0.2403,0.0644,0.0011,0.1791,0.0004,0.0081,0.0266,46305,5275,79586,9060,45938,10735,43864,6835
11233,110,490,475.1612903,1025,0.006528279,0.006330583,75058.1,12881.9,7683.6,48069.3,236,1681.3,19.7,648.4,3837.9,0.1716,0.1024,0.6404,0.0031,0.0224,0.0003,0.0086,0.0511,33853,2864,93789,7658,41064,2889,0,**
11234,20,85,134.75,380,0.000926925,0.001469449,91701.1,8436.2,33877.4,37542.3,121.7,7173.6,10,951.3,3588.5,0.092,0.3694,0.4094,0.0013,0.0782,0.0001,0.0104,0.0391,67431,7300,89560,4982,83682,4205,92763,10888
11235,40,275,329.2857143,1030,0.003257858,0.003900967,84411.3,8321.7,56203.4,2504.4,45,13766.3,14,533.1,3023.4,0.0986,0.6658,0.0297,0.0005,0.1631,0.0002,0.0063,0.0358,50330,8951,53393,1792,74909,39592,71625,7090
