Borough,ZCTA,min,median,average,max,sum,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_Asian,Inc_Hisp/Lati,Inc_White,Inc_Black/AfricanAmer,Inc_Asian
MANHATTAN,10001,65,1845.0,2236.3888888888887,5420,40255,24117,3741,13163,1384,5377,76167,123446,44952,62022
MANHATTAN,10001,65,1845.0,2236.3888888888887,5420,40255,24117,3741,13163,1384,5377,76167,123446,44952,62022
MANHATTAN,10002,75,850.0,744.0,1315,14880,74479,19554,16396,5541,30970,25417,94255,19454,26925
MANHATTAN,10003,950,2311.0,2445.5,3615,34237,53977,4559,37316,2976,7806,57734,125160,61411,84750
MANHATTAN,10004,50,4190.0,4553.0,10295,22765,3335,108,1977,132,969,136319,190446,200871,137891
MANHATTAN,10005,1435,6409.5,6004.75,9765,24019,8701,552,6236,92,1543,201708,197399,188705,140739
MANHATTAN,10006,3110,3110.0,3110.0,3110,3110,3092,335,1995,99,496,116389,214438,182228,100208
MANHATTAN,10007,110,2040.0,1860.0,2870,9300,7408,866,5063,579,761,"250,000+",226094,-,-
MANHATTAN,10009,100,665.0,685.5555555555555,1310,12340,58293,13867,30059,4550,8200,34041,93630,22121,39120
MANHATTAN,10010,70,2950.0,2872.0833333333335,5485,34465,35906,3807,21848,3283,5815,42003,139547,-,142426
MANHATTAN,10011,40,2120.0,2202.777777777778,5365,39650,49949,5958,36152,1917,4387,54241,156495,19400,156179
MANHATTAN,10012,520,1887.5,1812.4,3905,18124,23318,1806,16042,552,4249,95510,117315,42156,73036
MANHATTAN,10013,1325,2250.0,2854.090909090909,6855,31395,28799,1916,15557,995,9034,136618,199917,56117,41587
MANHATTAN,10014,40,1147.5,1502.0,5395,30040,30344,2119,25280,401,1422,104806,138164,82361,166779
MANHATTAN,10016,960,3015.0,3229.4285714285716,5490,45212,52886,4313,34510,1835,10621,77596,131257,105808,124561
MANHATTAN,10017,145,5842.5,5009.5,9835,50095,15846,821,11014,314,3373,-,136063,84886,127652
MANHATTAN,10018,95,4430.0,3965.9,7654,39659,8806,1415,4264,428,2422,90477,156071,45826,108938
MANHATTAN,10019,415,4129.5,4065.6363636363635,8600,89444,45498,7406,25155,2520,8649,40755,118256,24111,139632
MANHATTAN,10020,6715,7002.5,7002.5,7290,14005,0,0,0,0,0,-,-,-,-
MANHATTAN,10021,1010,2040.0,2312.222222222222,5440,20810,44280,3053,36034,126,3782,74824,128125,-,108167
MANHATTAN,10022,135,1905.0,3053.0666666666666,7815,45796,31130,2397,23882,392,3752,101053,150859,73750,170625
MANHATTAN,10023,20,1485.0,1422.2222222222222,2575,25600,62541,6845,44765,2817,6543,103299,142762,38028,152371
MANHATTAN,10024,90,735.0,986.6666666666666,2170,20720,58102,6217,44260,1865,4622,78459,161325,30406,153618
MANHATTAN,10025,265,715.0,900.75,1975,21618,92251,21737,50186,8757,8936,32550,130038,28517,87103
MANHATTAN,10026,60,760.0,780.0,1450,9360,38585,8282,7979,18704,2406,39596,131467,44420,55917
