,ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Lat,Long,Zip,ZCTA
0,176,MANHATTAN,23C,65,2018-06-20 00:00:00,23,C,40.75545372,74.00460932,10001,10001
1,186,MANHATTAN,24C,70,2018-06-20 00:00:00,24,C,40.75749191,74.00312516,10001,10001
2,166,MANHATTAN,22C,545,2018-06-20 00:00:00,22,C,40.75341553,74.00609349,10001,10001
3,157,MANHATTAN,21D,580,2018-06-20 00:00:00,21,D,40.74985113,74.00394802,10001,10001
4,158,MANHATTAN,21E,855,2018-06-20 00:00:00,21,E,40.74832491,74.00031838,10001,10001
5,177,MANHATTAN,23D,1130,2018-06-20 00:00:00,23,D,40.7539275,74.00097969,10001,10001
6,167,MANHATTAN,22D,1570,2018-06-20 00:00:00,22,D,40.75188931,74.00246385,10001,10001
7,178,MANHATTAN,23E,1655,2018-06-20 00:00:00,23,E,40.75240129,73.99735006,10001,10001
8,159,MANHATTAN,21F,1755,2018-06-20 00:00:00,21,F,40.7467987,73.99668875,10001,10001
9,168,MANHATTAN,22E,1935,2018-06-20 00:00:00,22,E,40.7503631,73.99883422,10001,10001
10,156,MANHATTAN,21C,2255,2018-06-20 00:00:00,21,C,40.75137734,74.00757765,10001,10001
11,169,MANHATTAN,22F,2330,2018-06-20 00:00:00,22,F,40.74883689,73.99520459,10001,10001
12,171,MANHATTAN,22H,2600,2018-06-20 00:00:00,22,H,40.74578446,73.98794532,10001,10001
13,181,MANHATTAN,23H,3910,2018-06-20 00:00:00,23,H,40.74782265,73.98646116,10001,10001
14,170,MANHATTAN,22G,4260,2018-06-20 00:00:00,22,G,40.74731067,73.99157495,10001,10001
15,179,MANHATTAN,23F,4315,2018-06-20 00:00:00,23,F,40.75087508,73.99372042,10001,10001
16,160,MANHATTAN,21G,5005,2018-06-20 00:00:00,21,G,40.74527249,73.99305912,10001,10001
17,180,MANHATTAN,23G,5420,2018-06-20 00:00:00,23,G,40.74934886,73.99009079,10001,10001
18,59,MANHATTAN,11N,75,2018-06-20 00:00:00,11,N,40.7142071,73.98249333,10002,10002
19,80,MANHATTAN,13O,100,2018-06-20 00:00:00,13,O,40.71675727,73.97589536,10002,10002
20,70,MANHATTAN,12O,285,2018-06-20 00:00:00,12,O,40.71471908,73.97737953,10002,10002
21,69,MANHATTAN,12N,300,2018-06-20 00:00:00,12,N,40.71624529,73.98100916,10002,10002
22,43,MANHATTAN,9L,400,2018-06-20 00:00:00,9,L,40.71318315,73.99272092,10002,10002
23,60,MANHATTAN,11O,470,2018-06-20 00:00:00,11,O,40.71268089,73.97886369,10002,10002
24,37,MANHATTAN,8L,480,2018-06-20 00:00:00,8,L,40.71114496,73.99420509,10002,10002
25,79,MANHATTAN,13N,625,2018-06-20 00:00:00,13,N,40.71828348,73.979525,10002,10002
26,68,MANHATTAN,12M,780,2018-06-20 00:00:00,12,M,40.71777151,73.9846388,10002,10002
27,56,MANHATTAN,11K,830,2018-06-20 00:00:00,11,K,40.71878574,73.99338223,10002,10002
28,78,MANHATTAN,13M,870,2018-06-20 00:00:00,13,M,40.71980969,73.98315463,10002,10002
29,57,MANHATTAN,11L,875,2018-06-20 00:00:00,11,L,40.71725953,73.98975259,10002,10002
30,50,MANHATTAN,10L,955,2018-06-20 00:00:00,10,L,40.71522134,73.99123676,10002,10002
31,58,MANHATTAN,11M,955,2018-06-20 00:00:00,11,M,40.71573332,73.98612296,10002,10002
32,66,MANHATTAN,12K,1010,2018-06-20 00:00:00,12,K,40.72082393,73.99189806,10002,10002
33,42,MANHATTAN,9K,1020,2018-06-20 00:00:00,9,K,40.71470937,73.99635055,10002,10002
34,76,MANHATTAN,13K,1070,2018-06-20 00:00:00,13,K,40.72286212,73.9904139,10002,10002
35,49,MANHATTAN,10K,1220,2018-06-20 00:00:00,10,K,40.71674755,73.99486639,10002,10002
36,77,MANHATTAN,13L,1245,2018-06-20 00:00:00,13,L,40.72133591,73.98678426,10002,10002
37,67,MANHATTAN,12L,1315,2018-06-20 00:00:00,12,L,40.71929772,73.98826843,10002,10002
38,142,MANHATTAN,19K,950,2018-06-20 00:00:00,19,K,40.73509125,73.98150891,10003,10003
39,98,MANHATTAN,15K,1170,2018-06-20 00:00:00,15,K,40.7269385,73.98744557,10003,10003
40,109,MANHATTAN,16K,1555,2018-06-20 00:00:00,16,K,40.72897669,73.9859614,10003,10003
41,108,MANHATTAN,16J,2130,2018-06-20 00:00:00,16,J,40.7305029,73.98959104,10003,10003
42,141,MANHATTAN,19J,2185,2018-06-20 00:00:00,19,J,40.73661747,73.98513855,10003,10003
43,97,MANHATTAN,15J,2190,2018-06-20 00:00:00,15,J,40.72846471,73.9910752,10003,10003
44,107,MANHATTAN,16I,2250,2018-06-20 00:00:00,16,I,40.73202911,73.99322067,10003,10003
45,120,MANHATTAN,17K,2372,2018-06-20 00:00:00,17,K,40.73101488,73.98447724,10003,10003
46,119,MANHATTAN,17J,2855,2018-06-20 00:00:00,17,J,40.73254109,73.98810687,10003,10003
47,118,MANHATTAN,17I,2950,2018-06-20 00:00:00,17,I,40.7340673,73.99173651,10003,10003
48,130,MANHATTAN,18J,3085,2018-06-20 00:00:00,18,J,40.73457928,73.98662271,10003,10003
49,140,MANHATTAN,19I,3435,2018-06-20 00:00:00,19,I,40.73814368,73.98876818,10003,10003
50,129,MANHATTAN,18I,3495,2018-06-20 00:00:00,18,I,40.73610549,73.99025234,10003,10003
51,131,MANHATTAN,18K,3615,2018-06-20 00:00:00,18,K,40.73305307,73.98299308,10003,10003
52,2,MANHATTAN,1J,240,2018-06-20 00:00:00,1,J,40.69993007,74.0118535,10004,10004
53,4,MANHATTAN,2I,4190,2018-06-20 00:00:00,2,I,40.70349447,74.01399897,10004,10004
54,5,MANHATTAN,2J,7990,2018-06-20 00:00:00,2,J,40.70196826,74.01036934,10004,10004
55,8,MANHATTAN,3I,10295,2018-06-20 00:00:00,3,I,40.70553266,74.01251481,10004,10004
56,53,MANHATTAN,11H,1435,2018-06-20 00:00:00,11,H,40.72336438,74.00427113,10005,10005
57,9,MANHATTAN,3J,4209,2018-06-20 00:00:00,3,J,40.70400645,74.00888517,10005,10005
58,13,MANHATTAN,4J,8610,2018-06-20 00:00:00,4,J,40.70604463,74.00740101,10005,10005
59,12,MANHATTAN,4I,9765,2018-06-20 00:00:00,4,I,40.70757085,74.01103064,10005,10005
60,11,MANHATTAN,4H,3110,2018-06-20 00:00:00,4,H,40.70909706,74.01466028,10006,10006
61,16,MANHATTAN,5H,110,2018-06-20 00:00:00,5,H,40.71113525,74.01317611,10007,10007
62,35,MANHATTAN,8J,1560,2018-06-20 00:00:00,8,J,40.71419739,74.00146435,10007,10007
63,27,MANHATTAN,7H,2040,2018-06-20 00:00:00,7,H,40.71521163,74.01020778,10007,10007
64,28,MANHATTAN,7I,2720,2018-06-20 00:00:00,7,I,40.71368541,74.00657815,10007,10007
65,34,MANHATTAN,8I,2870,2018-06-20 00:00:00,8,I,40.7157236,74.00509399,10007,10007
66,123,MANHATTAN,17N,100,2018-06-20 00:00:00,17,N,40.72643624,73.97358834,10009,10009
67,110,MANHATTAN,16L,190,2018-06-20 00:00:00,16,L,40.72745047,73.98233177,10009,10009
68,91,MANHATTAN,14O,390,2018-06-20 00:00:00,14,O,40.71879546,73.9744112,10009,10009
69,134,MANHATTAN,18N,410,2018-06-20 00:00:00,18,N,40.72847443,73.97210418,10009,10009
70,112,MANHATTAN,16N,445,2018-06-20 00:00:00,16,N,40.72439805,73.9750725,10009,10009
71,122,MANHATTAN,17M,550,2018-06-20 00:00:00,17,M,40.72796245,73.97721797,10009,10009
72,90,MANHATTAN,14N,580,2018-06-20 00:00:00,14,N,40.72032167,73.97804083,10009,10009
73,88,MANHATTAN,14L,620,2018-06-20 00:00:00,14,L,40.7233741,73.9853001,10009,10009
74,132,MANHATTAN,18L,660,2018-06-20 00:00:00,18,L,40.73152685,73.97936344,10009,10009
75,143,MANHATTAN,19L,670,2018-06-20 00:00:00,19,L,40.73356504,73.97787928,10009,10009
76,133,MANHATTAN,18M,700,2018-06-20 00:00:00,18,M,40.73000064,73.97573381,10009,10009
77,100,MANHATTAN,15M,765,2018-06-20 00:00:00,15,M,40.72388607,73.9801863,10009,10009
78,121,MANHATTAN,17L,840,2018-06-20 00:00:00,17,L,40.72948866,73.98084761,10009,10009
