ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
1,40.71366599,40.71213977,40.71061356,40.70908735,40.70756113,40.70603492,40.70450871,40.70298249,40.70145628,40.69993007,40.69840385,40.69687764,40.69535143,40.69382521,40.692299
2,40.71570418,40.71417796,40.71265175,40.71112554,40.70959932,40.70807311,40.7065469,40.70502068,40.70349447,40.70196826,40.70044204,40.69891583,40.69738962,40.6958634,40.69433719
3,40.71774237,40.71621615,40.71468994,40.71316373,40.71163751,40.7101113,40.70858509,40.70705887,40.70553266,40.70400645,40.70248023,40.70095402,40.69942781,40.69790159,40.69637538
4,40.71978055,40.71825434,40.71672813,40.71520191,40.7136757,40.71214949,40.71062327,40.70909706,40.70757085,40.70604463,40.70451842,40.70299221,40.70146599,40.69993978,40.69841357
5,40.72181874,40.72029253,40.71876632,40.7172401,40.71571389,40.71418768,40.71266146,40.71113525,40.70960904,40.70808282,40.70655661,40.7050304,40.70350418,40.70197797,40.70045176
6,40.72385693,40.72233072,40.72080451,40.71927829,40.71775208,40.71622587,40.71469965,40.71317344,40.71164723,40.71012101,40.7085948,40.70706859,40.70554237,40.70401616,40.70248995
7,40.72589512,40.72436891,40.72284269,40.72131648,40.71979027,40.71826405,40.71673784,40.71521163,40.71368541,40.7121592,40.71063299,40.70910677,40.70758056,40.70605435,40.70452813
8,40.72793331,40.7264071,40.72488088,40.72335467,40.72182846,40.72030224,40.71877603,40.71724982,40.7157236,40.71419739,40.71267118,40.71114496,40.70961875,40.70809254,40.70656632
9,40.7299715,40.72844529,40.72691907,40.72539286,40.72386665,40.72234043,40.72081422,40.71928801,40.71776179,40.71623558,40.71470937,40.71318315,40.71165694,40.71013073,40.70860451
10,40.73200969,40.73048347,40.72895726,40.72743105,40.72590483,40.72437862,40.72285241,40.72132619,40.71979998,40.71827377,40.71674755,40.71522134,40.71369513,40.71216891,40.7106427
11,40.73404788,40.73252166,40.73099545,40.72946924,40.72794302,40.72641681,40.7248906,40.72336438,40.72183817,40.72031196,40.71878574,40.71725953,40.71573332,40.7142071,40.71268089
12,40.73608607,40.73455985,40.73303364,40.73150743,40.72998121,40.728455,40.72692879,40.72540257,40.72387636,40.72235015,40.72082393,40.71929772,40.71777151,40.71624529,40.71471908
13,40.73812425,40.73659804,40.73507183,40.73354561,40.7320194,40.73049319,40.72896697,40.72744076,40.72591455,40.72438833,40.72286212,40.72133591,40.71980969,40.71828348,40.71675727
14,40.74016244,40.73863623,40.73711002,40.7355838,40.73405759,40.73253138,40.73100516,40.72947895,40.72795274,40.72642652,40.72490031,40.7233741,40.72184788,40.72032167,40.71879546
15,40.74220063,40.74067442,40.73914821,40.73762199,40.73609578,40.73456957,40.73304335,40.73151714,40.72999093,40.72846471,40.7269385,40.72541229,40.72388607,40.72235986,40.72083365
16,40.74423882,40.74271261,40.74118639,40.73966018,40.73813397,40.73660775,40.73508154,40.73355533,40.73202911,40.7305029,40.72897669,40.72745047,40.72592426,40.72439805,40.72287183
17,40.74627701,40.7447508,40.74322458,40.74169837,40.74017216,40.73864594,40.73711973,40.73559352,40.7340673,40.73254109,40.73101488,40.72948866,40.72796245,40.72643624,40.72491002
18,40.7483152,40.74678899,40.74526277,40.74373656,40.74221035,40.74068413,40.73915792,40.73763171,40.73610549,40.73457928,40.73305307,40.73152685,40.73000064,40.72847443,40.72694821
19,40.75035339,40.74882717,40.74730096,40.74577475,40.74424853,40.74272232,40.74119611,40.73966989,40.73814368,40.73661747,40.73509125,40.73356504,40.73203883,40.73051261,40.7289864
20,40.75239158,40.75086536,40.74933915,40.74781294,40.74628672,40.74476051,40.7432343,40.74170808,40.74018187,40.73865566,40.73712944,40.73560323,40.73407702,40.7325508,40.73102459
