ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
1,74.0445202,74.04089057,74.03726093,74.0336313,74.03000167,74.02637203,74.0227424,74.01911277,74.01548313,74.0118535,74.00822387,74.00459423,74.0009646,73.99733497,73.99370533
2,74.04303604,74.0394064,74.03577677,74.03214714,74.0285175,74.02488787,74.02125824,74.0176286,74.01399897,74.01036934,74.0067397,74.00311007,73.99948044,73.9958508,73.99222117
3,74.04155187,74.03792224,74.03429261,74.03066297,74.02703334,74.02340371,74.01977407,74.01614444,74.01251481,74.00888517,74.00525554,74.00162591,73.99799627,73.99436664,73.99073701
4,74.04006771,74.03643808,74.03280844,74.02917881,74.02554918,74.02191954,74.01828991,74.01466028,74.01103064,74.00740101,74.00377138,74.00014174,73.99651211,73.99288248,73.98925284
5,74.03858354,74.03495391,74.03132428,74.02769464,74.02406501,74.02043538,74.01680574,74.01317611,74.00954648,74.00591684,74.00228721,73.99865758,73.99502794,73.99139831,73.98776868
6,74.03709938,74.03346975,74.02984011,74.02621048,74.02258085,74.01895121,74.01532158,74.01169195,74.00806231,74.00443268,74.00080305,73.99717341,73.99354378,73.98991415,73.98628451
7,74.03561522,74.03198558,74.02835595,74.02472632,74.02109668,74.01746705,74.01383742,74.01020778,74.00657815,74.00294852,73.99931888,73.99568925,73.99205962,73.98842998,73.98480035
8,74.03413105,74.03050142,74.02687179,74.02324215,74.01961252,74.01598289,74.01235325,74.00872362,74.00509399,74.00146435,73.99783472,73.99420509,73.99057545,73.98694582,73.98331619
9,74.03264689,74.02901725,74.02538762,74.02175799,74.01812835,74.01449872,74.01086909,74.00723945,74.00360982,73.99998019,73.99635055,73.99272092,73.98909129,73.98546165,73.98183202
10,74.03116272,74.02753309,74.02390346,74.02027382,74.01664419,74.01301456,74.00938492,74.00575529,74.00212566,73.99849602,73.99486639,73.99123676,73.98760712,73.98397749,73.98034786
11,74.02967856,74.02604893,74.02241929,74.01878966,74.01516003,74.01153039,74.00790076,74.00427113,74.00064149,73.99701186,73.99338223,73.98975259,73.98612296,73.98249333,73.97886369
12,74.0281944,74.02456476,74.02093513,74.0173055,74.01367586,74.01004623,74.0064166,74.00278696,73.99915733,73.9955277,73.99189806,73.98826843,73.9846388,73.98100916,73.97737953
13,74.02671023,74.0230806,74.01945096,74.01582133,74.0121917,74.00856206,74.00493243,74.0013028,73.99767316,73.99404353,73.9904139,73.98678426,73.98315463,73.979525,73.97589536
14,74.02522607,74.02159643,74.0179668,74.01433717,74.01070753,74.0070779,74.00344827,73.99981863,73.996189,73.99255937,73.98892973,73.9853001,73.98167047,73.97804083,73.9744112
15,74.0237419,74.02011227,74.01648264,74.012853,74.00922337,74.00559374,74.0019641,73.99833447,73.99470484,73.9910752,73.98744557,73.98381594,73.9801863,73.97655667,73.97292704
16,74.02225774,74.0186281,74.01499847,74.01136884,74.0077392,74.00410957,74.00047994,73.9968503,73.99322067,73.98959104,73.9859614,73.98233177,73.97870214,73.9750725,73.97144287
17,74.02077357,74.01714394,74.01351431,74.00988467,74.00625504,74.00262541,73.99899577,73.99536614,73.99173651,73.98810687,73.98447724,73.98084761,73.97721797,73.97358834,73.96995871
18,74.01928941,74.01565978,74.01203014,74.00840051,74.00477088,74.00114124,73.99751161,73.99388198,73.99025234,73.98662271,73.98299308,73.97936344,73.97573381,73.97210418,73.96847454
19,74.01780525,74.01417561,74.01054598,74.00691635,74.00328671,73.99965708,73.99602745,73.99239781,73.98876818,73.98513855,73.98150891,73.97787928,73.97424965,73.97062001,73.96699038
20,74.01632108,74.01269145,74.00906181,74.00543218,74.00180255,73.99817291,73.99454328,73.99091365,73.98728401,73.98365438,73.98002475,73.97639511,73.97276548,73.96913585,73.96550621
21,74.01483692,74.01120728,74.00757765,74.00394802,74.00031838,73.99668875,73.99305912,73.98942948,73.98579985,73.98217022,73.97854058,73.97491095,73.97128132,73.96765168,73.96402205
22,74.01335275,74.00972312,74.00609349,74.00246385,73.99883422,73.99520459,73.99157495,73.98794532,73.98431569,73.98068605,73.97705642,73.97342679,73.96979715,73.96616752,73.96253789
23,74.01186859,74.00823896,74.00460932,74.00097969,73.99735006,73.99372042,73.99009079,73.98646116,73.98283152,73.97920189,73.97557226,73.97194262,73.96831299,73.96468336,73.96105372
24,74.01038442,74.00675479,74.00312516,73.99949552,73.99586589,73.99223626,73.98860662,73.98497699,73.98134736,73.97771772,73.97408809,73.97045846,73.96682882,73.96319919,73.95956956
25,74.00890026,74.00527063,74.00164099,73.99801136,73.99438173,73.99075209,73.98712246,73.98349283,73.97986319,73.97623356,73.97260393,73.96897429,73.96534466,73.96171503,73.95808539
26,74.0074161,74.00378646,74.00015683,73.9965272,73.99289756,73.98926793,73.9856383,73.98200866,73.97837903,73.9747494,73.97111976,73.96749013,73.9638605,73.96023086,73.95660123
27,74.00593193,74.0023023,73.99867267,73.99504303,73.9914134,73.98778377,73.98415413,73.9805245,73.97689487,73.97326523,73.9696356,73.96600597,73.96237633,73.9587467,73.95511707
28,74.00444777,74.00081813,73.9971885,73.99355887,73.98992923,73.9862996,73.98266997,73.97904033,73.9754107,73.97178107,73.96815143,73.9645218,73.96089217,73.95726253,73.9536329
29,74.0029636,73.99933397,73.99570434,73.9920747,73.98844507,73.98481544,73.9811858,73.97755617,73.97392654,73.9702969,73.96666727,73.96303764,73.959408,73.95577837,73.95214874
30,74.00147944,73.99784981,73.99422017,73.99059054,73.98696091,73.98333127,73.97970164,73.97607201,73.97244237,73.96881274,73.96518311,73.96155347,73.95792384,73.95429421,73.95066457
31,73.99999528,73.99636564,73.99273601,73.98910638,73.98547674,73.98184711,73.97821748,73.97458784,73.97095821,73.96732858,73.96369894,73.96006931,73.95643968,73.95281004,73.94918041
32,73.99851111,73.99488148,73.99125184,73.98762221,73.98399258,73.98036294,73.97673331,73.97310368,73.96947404,73.96584441,73.96221478,73.95858514,73.95495551,73.95132588,73.94769624
33,73.99702695,73.99339731,73.98976768,73.98613805,73.98250841,73.97887878,73.97524915,73.97161951,73.96798988,73.96436025,73.96073061,73.95710098,73.95347135,73.94984171,73.94621208
34,73.99554278,73.99191315,73.98828352,73.98465388,73.98102425,73.97739462,73.97376498,73.97013535,73.96650572,73.96287608,73.95924645,73.95561682,73.95198718,73.94835755,73.94472792
35,73.99405862,73.99042899,73.98679935,73.98316972,73.97954009,73.97591045,73.97228082,73.96865119,73.96502155,73.96139192,73.95776229,73.95413265,73.95050302,73.94687339,73.94324375
36,73.99257445,73.98894482,73.98531519,73.98168555,73.97805592,73.97442629,73.97079665,73.96716702,73.96353739,73.95990775,73.95627812,73.95264849,73.94901885,73.94538922,73.94175959
37,73.99109029,73.98746066,73.98383102,73.98020139,73.97657176,73.97294212,73.96931249,73.96568286,73.96205322,73.95842359,73.95479396,73.95116432,73.94753469,73.94390506,73.94027542
38,73.98960613,73.98597649,73.98234686,73.97871723,73.97508759,73.97145796,73.96782833,73.96419869,73.96056906,73.95693943,73.95330979,73.94968016,73.94605053,73.94242089,73.93879126
39,73.98812196,73.98449233,73.9808627,73.97723306,73.97360343,73.9699738,73.96634416,73.96271453,73.9590849,73.95545526,73.95182563,73.948196,73.94456636,73.94093673,73.9373071
40,73.9866378,73.98300816,73.97937853,73.9757489,73.97211926,73.96848963,73.96486,73.96123036,73.95760073,73.9539711,73.95034146,73.94671183,73.9430822,73.93945256,73.93582293
41,73.98515363,73.981524,73.97789437,73.97426473,73.9706351,73.96700547,73.96337583,73.9597462,73.95611657,73.95248693,73.9488573,73.94522767,73.94159803,73.9379684,73.93433877
42,73.98366947,73.98003984,73.9764102,73.97278057,73.96915094,73.9655213,73.96189167,73.95826204,73.9546324,73.95100277,73.94737314,73.9437435,73.94011387,73.93648424,73.9328546
43,73.9821853,73.97855567,73.97492604,73.9712964,73.96766677,73.96403714,73.9604075,73.95677787,73.95314824,73.9495186,73.94588897,73.94225934,73.9386297,73.93500007,73.93137044
44,73.98070114,73.97707151,73.97344187,73.96981224,73.96618261,73.96255297,73.95892334,73.95529371,73.95166407,73.94803444,73.94440481,73.94077517,73.93714554,73.93351591,73.92988627
45,73.97921698,73.97558734,73.97195771,73.96832808,73.96469844,73.96106881,73.95743918,73.95380954,73.95017991,73.94655028,73.94292064,73.93929101,73.93566138,73.93203174,73.92840211
46,73.97773281,73.97410318,73.97047355,73.96684391,73.96321428,73.95958465,73.95595501,73.95232538,73.94869575,73.94506611,73.94143648,73.93780685,73.93417721,73.93054758,73.92691795
47,73.97624865,73.97261901,73.96898938,73.96535975,73.96173011,73.95810048,73.95447085,73.95084121,73.94721158,73.94358195,73.93995231,73.93632268,73.93269305,73.92906341,73.92543378
48,73.97476448,73.97113485,73.96750522,73.96387558,73.96024595,73.95661632,73.95298668,73.94935705,73.94572742,73.94209778,73.93846815,73.93483852,73.93120888,73.92757925,73.92394962
49,73.97328032,73.96965069,73.96602105,73.96239142,73.95876179,73.95513215,73.95150252,73.94787289,73.94424325,73.94061362,73.93698399,73.93335435,73.92972472,73.92609509,73.92246545
50,73.97179616,73.96816652,73.96453689,73.96090726,73.95727762,73.95364799,73.95001836,73.94638872,73.94275909,73.93912946,73.93549982,73.93187019,73.92824056,73.92461092,73.92098129
51,73.97031199,73.96668236,73.96305272,73.95942309,73.95579346,73.95216382,73.94853419,73.94490456,73.94127492,73.93764529,73.93401566,73.93038602,73.92675639,73.92312676,73.91949712
52,73.96882783,73.96519819,73.96156856,73.95793893,73.95430929,73.95067966,73.94705003,73.94342039,73.93979076,73.93616113,73.93253149,73.92890186,73.92527223,73.92164259,73.91801296
53,73.96734366,73.96371403,73.9600844,73.95645476,73.95282513,73.9491955,73.94556586,73.94193623,73.9383066,73.93467696,73.93104733,73.9274177,73.92378806,73.92015843,73.9165288
