Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
MANHATTAN,80B,,
MANHATTAN,81B,,
MANHATTAN,82B,,
MANHATTAN,79A,,
MANHATTAN,80A,,
MANHATTAN,81A,,
MANHATTAN,82D,175,2018/6/20
MANHATTAN,81C,80,2018/6/20
MANHATTAN,82C,,
MANHATTAN,82E,,
MANHATTAN,61B,,
MANHATTAN,62B,,
MANHATTAN,63B,,
MANHATTAN,64B,,
MANHATTAN,65B,125,2018/6/20
MANHATTAN,66B,1110,2018/6/20
MANHATTAN,67B,220,2018/6/20
MANHATTAN,68B,235,2018/6/20
MANHATTAN,69B,760,2018/6/20
MANHATTAN,70B,275,2018/6/20
MANHATTAN,71B,825,2018/6/20
MANHATTAN,72B,380,2018/6/20
MANHATTAN,73B,225,2018/6/20
MANHATTAN,74B,170,2018/6/20
MANHATTAN,75B,135,2018/6/20
MANHATTAN,76B,380,2018/6/20
MANHATTAN,77B,345,2018/6/20
MANHATTAN,78B,125,2018/6/20
MANHATTAN,79B,,
MANHATTAN,80B,,
MANHATTAN,81B,,
MANHATTAN,65A,,
MANHATTAN,66A,,
MANHATTAN,67A,,
MANHATTAN,68A,,
MANHATTAN,69A,100,2018/6/20
MANHATTAN,70A,,
MANHATTAN,71A,,
MANHATTAN,72A,,
MANHATTAN,73A,,
MANHATTAN,74A,,
MANHATTAN,75A,145,2018/6/20
MANHATTAN,76A,,
MANHATTAN,77A,,
MANHATTAN,78A,,
MANHATTAN,79A,,
MANHATTAN,80A,,
MANHATTAN,64F,,
MANHATTAN,65F,,
MANHATTAN,77F,,
MANHATTAN,78F,,
MANHATTAN,79F,,
MANHATTAN,80F,,
MANHATTAN,67D,715,2018/6/20
MANHATTAN,68D,630,2018/6/20
MANHATTAN,69D,790,2018/6/20
MANHATTAN,70D,660,2018/6/20
MANHATTAN,71D,570,2018/6/20
MANHATTAN,72D,715,2018/6/20
MANHATTAN,73D,590,2018/6/20
MANHATTAN,74D,,
MANHATTAN,75D,300,2018/6/20
MANHATTAN,76D,450,2018/6/20
MANHATTAN,77D,925,2018/6/20
MANHATTAN,78D,700,2018/6/20
MANHATTAN,79D,785,2018/6/20
MANHATTAN,80D,175,2018/6/20
MANHATTAN,81D,1130,2018/6/20
MANHATTAN,82D,175,2018/6/20
MANHATTAN,62C,890,2018/6/20
MANHATTAN,63C,790,2018/6/20
MANHATTAN,64C,305,2018/6/20
MANHATTAN,65C,5730,2018/6/20
MANHATTAN,66C,600,2018/6/20
MANHATTAN,67C,425,2018/6/20
MANHATTAN,68C,765,2018/6/20
MANHATTAN,69C,1660,2018/6/20
MANHATTAN,70C,410,2018/6/20
MANHATTAN,71C,720,2018/6/20
MANHATTAN,72C,600,2018/6/20
MANHATTAN,73C,470,2018/6/20
MANHATTAN,74C,755,2018/6/20
MANHATTAN,75C,595,2018/6/20
MANHATTAN,76C,610,2018/6/20
MANHATTAN,77C,640,2018/6/20
MANHATTAN,78C,560,2018/6/20
MANHATTAN,79C,95,2018/6/20
MANHATTAN,80C,335,2018/6/20
MANHATTAN,81C,80,2018/6/20
MANHATTAN,82C,,
MANHATTAN,63D,950,2018/6/20
MANHATTAN,64D,860,2018/6/20
MANHATTAN,65D,2505,2018/6/20
MANHATTAN,66D,660,2018/6/20
MANHATTAN,63E,110,2018/6/20
MANHATTAN,64E,255,2018/6/20
MANHATTAN,65E,60,2018/6/20
MANHATTAN,66E,,
MANHATTAN,67E,,
MANHATTAN,68E,,
MANHATTAN,69E,,
MANHATTAN,70E,,
MANHATTAN,71E,,
MANHATTAN,72E,,
MANHATTAN,73E,,
MANHATTAN,74E,,
MANHATTAN,75E,,
MANHATTAN,76E,10,2018/6/20
MANHATTAN,77E,220,2018/6/20
MANHATTAN,78E,,
