Borough,ZCTA,min,median,average,max,sum
MANHATTAN,10001,65,1845.0,2236.3888888888887,5420,40255
MANHATTAN,10002,75,850.0,744.0,1315,14880
MANHATTAN,10003,950,2311.0,2445.5,3615,34237
MANHATTAN,10004,50,4190.0,4553.0,10295,22765
MANHATTAN,10005,1435,6409.5,6004.75,9765,24019
MANHATTAN,10006,3110,3110.0,3110.0,3110,3110
MANHATTAN,10007,110,2040.0,1860.0,2870,9300
MANHATTAN,10009,100,665.0,685.5555555555555,1310,12340
MANHATTAN,10010,70,2950.0,2872.0833333333335,5485,34465
MANHATTAN,10011,40,2120.0,2202.777777777778,5365,39650
MANHATTAN,10012,520,1887.5,1812.4,3905,18124
MANHATTAN,10013,1325,2250.0,2854.090909090909,6855,31395
MANHATTAN,10014,40,1147.5,1502.0,5395,30040
MANHATTAN,10016,960,3015.0,3229.4285714285716,5490,45212
MANHATTAN,10017,145,5842.5,5009.5,9835,50095
MANHATTAN,10018,95,4430.0,3965.9,7654,39659
MANHATTAN,10019,415,4129.5,4065.6363636363635,8600,89444
MANHATTAN,10020,6715,7002.5,7002.5,7290,14005
MANHATTAN,10021,1010,2040.0,2312.222222222222,5440,20810
MANHATTAN,10022,135,1905.0,3053.0666666666666,7815,45796
MANHATTAN,10023,20,1485.0,1422.2222222222222,2575,25600
MANHATTAN,10024,90,735.0,986.6666666666666,2170,20720
MANHATTAN,10025,265,715.0,900.75,1975,21618
MANHATTAN,10026,60,760.0,780.0,1450,9360
MANHATTAN,10027,215,657.5,873.9285714285714,2580,24470
MANHATTAN,10028,370,1745.0,1800.5,3155,18005
MANHATTAN,10029,125,785.0,791.84,2975,19796
MANHATTAN,10030,285,907.5,880.0,1330,7040
MANHATTAN,10031,245,745.0,970.0,5730,18430
MANHATTAN,10032,60,575.0,593.421052631579,2505,11275
MANHATTAN,10033,100,660.0,630.0,1660,9450
MANHATTAN,10034,10,317.5,376.25,1130,7525
MANHATTAN,10035,90,600.0,760.2173913043479,2255,17485
MANHATTAN,10036,245,4581.0,4637.615384615385,9713,60289
MANHATTAN,10037,140,587.5,768.75,1620,6150
MANHATTAN,10038,100,932.5,2279.0,7175,22790
MANHATTAN,10039,75,660.0,653.125,1590,5225
MANHATTAN,10040,170,530.0,460.0,755,5520
MANHATTAN,10044,80,172.5,397.9166666666667,2250,4775
MANHATTAN,10065,160,2400.0,2221.0,4160,22210
MANHATTAN,10069,690,1427.5,1442.5,2225,5770
MANHATTAN,10075,300,1250.0,1376.875,3290,11015
MANHATTAN,10111,10721,10721.0,10721.0,10721,10721
MANHATTAN,10115,485,485.0,485.0,485,485
MANHATTAN,10128,415,1502.5,1321.0,2035,13210
MANHATTAN,10153,395,1680.0,2040.0,4045,6120
MANHATTAN,10162,40,410.0,340.0,600,2040
MANHATTAN,10199,730,730.0,730.0,730,730
MANHATTAN,10279,4860,4860.0,4860.0,4860,4860
MANHATTAN,10280,180,1167.5,1096.25,1870,4385
MANHATTAN,10282,80,1225.0,1316.4285714285713,4245,9215
MANHATTAN,11109,15,15.0,15.0,15,15
