ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ
1,74.02967264,74.02473052,74.0197884,74.01484628,74.00990416,74.00496204,74.00001993,73.99507781,73.99013569,73.98519357,73.98025145,73.97530933,73.97036721,73.96542509,73.96048297,73.95554086,73.95059874,73.94565662,73.9407145,73.93577238,73.93083026,73.92588814,73.92094602,73.91600391,73.91106179,73.90611967,73.90117755,73.89623543,73.89129331,73.88635119,73.88140907,73.87646695,73.87152484,73.86658272,73.8616406,73.85669848,73.85175636,73.84681424,73.84187212,73.83693,73.83198788,73.82704577,73.82210365,73.81716153,73.81221941,73.80727729,73.80233517,73.79739305,73.79245093,73.78750882,73.7825667,73.77762458,73.77268246,73.76774034,73.76279822,73.7578561,73.75291398,73.74797186,73.74302975,73.73808763,73.73314551,73.72820339,73.72326127,73.71831915,73.71337703,73.70843491,73.7034928,73.69855068,73.69360856
2,74.03020643,74.02526432,74.0203222,74.01538008,74.01043796,74.00549584,74.00055372,73.9956116,73.99066948,73.98572737,73.98078525,73.97584313,73.97090101,73.96595889,73.96101677,73.95607465,73.95113253,73.94619041,73.9412483,73.93630618,73.93136406,73.92642194,73.92147982,73.9165377,73.91159558,73.90665346,73.90171134,73.89676923,73.89182711,73.88688499,73.88194287,73.87700075,73.87205863,73.86711651,73.86217439,73.85723228,73.85229016,73.84734804,73.84240592,73.8374638,73.83252168,73.82757956,73.82263744,73.81769532,73.81275321,73.80781109,73.80286897,73.79792685,73.79298473,73.78804261,73.78310049,73.77815837,73.77321625,73.76827414,73.76333202,73.7583899,73.75344778,73.74850566,73.74356354,73.73862142,73.7336793,73.72873719,73.72379507,73.71885295,73.71391083,73.70896871,73.70402659,73.69908447,73.69414235
3,74.03074023,74.02579811,74.02085599,74.01591387,74.01097176,74.00602964,74.00108752,73.9961454,73.99120328,73.98626116,73.98131904,73.97637692,73.9714348,73.96649269,73.96155057,73.95660845,73.95166633,73.94672421,73.94178209,73.93683997,73.93189785,73.92695574,73.92201362,73.9170715,73.91212938,73.90718726,73.90224514,73.89730302,73.8923609,73.88741878,73.88247667,73.87753455,73.87259243,73.86765031,73.86270819,73.85776607,73.85282395,73.84788183,73.84293971,73.8379976,73.83305548,73.82811336,73.82317124,73.81822912,73.813287,73.80834488,73.80340276,73.79846065,73.79351853,73.78857641,73.78363429,73.77869217,73.77375005,73.76880793,73.76386581,73.75892369,73.75398158,73.74903946,73.74409734,73.73915522,73.7342131,73.72927098,73.72432886,73.71938674,73.71444462,73.70950251,73.70456039,73.69961827,73.69467615
4,74.03127403,74.02633191,74.02138979,74.01644767,74.01150555,74.00656343,74.00162131,73.99667919,73.99173708,73.98679496,73.98185284,73.97691072,73.9719686,73.96702648,73.96208436,73.95714224,73.95220013,73.94725801,73.94231589,73.93737377,73.93243165,73.92748953,73.92254741,73.91760529,73.91266317,73.90772106,73.90277894,73.89783682,73.8928947,73.88795258,73.88301046,73.87806834,73.87312622,73.86818411,73.86324199,73.85829987,73.85335775,73.84841563,73.84347351,73.83853139,73.83358927,73.82864715,73.82370504,73.81876292,73.8138208,73.80887868,73.80393656,73.79899444,73.79405232,73.7891102,73.78416808,73.77922597,73.77428385,73.76934173,73.76439961,73.75945749,73.75451537,73.74957325,73.74463113,73.73968902,73.7347469,73.72980478,73.72486266,73.71992054,73.71497842,73.7100363,73.70509418,73.70015206,73.69520995
5,74.03180782,74.0268657,74.02192359,74.01698147,74.01203935,74.00709723,74.00215511,73.99721299,73.99227087,73.98732875,73.98238663,73.97744452,73.9725024,73.96756028,73.96261816,73.95767604,73.95273392,73.9477918,73.94284968,73.93790756,73.93296545,73.92802333,73.92308121,73.91813909,73.91319697,73.90825485,73.90331273,73.89837061,73.8934285,73.88848638,73.88354426,73.87860214,73.87366002,73.8687179,73.86377578,73.85883366,73.85389154,73.84894943,73.84400731,73.83906519,73.83412307,73.82918095,73.82423883,73.81929671,73.81435459,73.80941247,73.80447036,73.79952824,73.79458612,73.789644,73.78470188,73.77975976,73.77481764,73.76987552,73.76493341,73.75999129,73.75504917,73.75010705,73.74516493,73.74022281,73.73528069,73.73033857,73.72539645,73.72045434,73.71551222,73.7105701,73.70562798,73.70068586,73.69574374
6,74.03234162,74.0273995,74.02245738,74.01751526,74.01257314,74.00763102,74.00268891,73.99774679,73.99280467,73.98786255,73.98292043,73.97797831,73.97303619,73.96809407,73.96315196,73.95820984,73.95326772,73.9483256,73.94338348,73.93844136,73.93349924,73.92855712,73.923615,73.91867289,73.91373077,73.90878865,73.90384653,73.89890441,73.89396229,73.88902017,73.88407805,73.87913593,73.87419382,73.8692517,73.86430958,73.85936746,73.85442534,73.84948322,73.8445411,73.83959898,73.83465687,73.82971475,73.82477263,73.81983051,73.81488839,73.80994627,73.80500415,73.80006203,73.79511991,73.7901778,73.78523568,73.78029356,73.77535144,73.77040932,73.7654672,73.76052508,73.75558296,73.75064084,73.74569873,73.74075661,73.73581449,73.73087237,73.72593025,73.72098813,73.71604601,73.71110389,73.70616178,73.70121966,73.69627754
7,74.03287541,74.0279333,74.02299118,74.01804906,74.01310694,74.00816482,74.0032227,73.99828058,73.99333846,73.98839635,73.98345423,73.97851211,73.97356999,73.96862787,73.96368575,73.95874363,73.95380151,73.94885939,73.94391728,73.93897516,73.93403304,73.92909092,73.9241488,73.91920668,73.91426456,73.90932244,73.90438033,73.89943821,73.89449609,73.88955397,73.88461185,73.87966973,73.87472761,73.86978549,73.86484337,73.85990126,73.85495914,73.85001702,73.8450749,73.84013278,73.83519066,73.83024854,73.82530642,73.8203643,73.81542219,73.81048007,73.80553795,73.80059583,73.79565371,73.79071159,73.78576947,73.78082735,73.77588524,73.77094312,73.766001,73.76105888,73.75611676,73.75117464,73.74623252,73.7412904,73.73634828,73.73140617,73.72646405,73.72152193,73.71657981,73.71163769,73.70669557,73.70175345,73.69681133
8,74.03340921,74.02846709,74.02352497,74.01858285,74.01364074,74.00869862,74.0037565,73.99881438,73.99387226,73.98893014,73.98398802,73.9790459,73.97410378,73.96916167,73.96421955,73.95927743,73.95433531,73.94939319,73.94445107,73.93950895,73.93456683,73.92962472,73.9246826,73.91974048,73.91479836,73.90985624,73.90491412,73.899972,73.89502988,73.89008776,73.88514565,73.88020353,73.87526141,73.87031929,73.86537717,73.86043505,73.85549293,73.85055081,73.8456087,73.84066658,73.83572446,73.83078234,73.82584022,73.8208981,73.81595598,73.81101386,73.80607174,73.80112963,73.79618751,73.79124539,73.78630327,73.78136115,73.77641903,73.77147691,73.76653479,73.76159267,73.75665056,73.75170844,73.74676632,73.7418242,73.73688208,73.73193996,73.72699784,73.72205572,73.71711361,73.71217149,73.70722937,73.70228725,73.69734513
9,74.03394301,74.02900089,74.02405877,74.01911665,74.01417453,74.00923241,74.00429029,73.99934818,73.99440606,73.98946394,73.98452182,73.9795797,73.97463758,73.96969546,73.96475334,73.95981122,73.95486911,73.94992699,73.94498487,73.94004275,73.93510063,73.93015851,73.92521639,73.92027427,73.91533215,73.91039004,73.90544792,73.9005058,73.89556368,73.89062156,73.88567944,73.88073732,73.8757952,73.87085309,73.86591097,73.86096885,73.85602673,73.85108461,73.84614249,73.84120037,73.83625825,73.83131613,73.82637402,73.8214319,73.81648978,73.81154766,73.80660554,73.80166342,73.7967213,73.79177918,73.78683706,73.78189495,73.77695283,73.77201071,73.76706859,73.76212647,73.75718435,73.75224223,73.74730011,73.742358,73.73741588,73.73247376,73.72753164,73.72258952,73.7176474,73.71270528,73.70776316,73.70282104,73.69787893
10,74.0344768,74.02953468,74.02459257,74.01965045,74.01470833,74.00976621,74.00482409,73.99988197,73.99493985,73.98999773,73.98505561,73.9801135,73.97517138,73.97022926,73.96528714,73.96034502,73.9554029,73.95046078,73.94551866,73.94057655,73.93563443,73.93069231,73.92575019,73.92080807,73.91586595,73.91092383,73.90598171,73.90103959,73.89609748,73.89115536,73.88621324,73.88127112,73.876329,73.87138688,73.86644476,73.86150264,73.85656052,73.85161841,73.84667629,73.84173417,73.83679205,73.83184993,73.82690781,73.82196569,73.81702357,73.81208146,73.80713934,73.80219722,73.7972551,73.79231298,73.78737086,73.78242874,73.77748662,73.7725445,73.76760239,73.76266027,73.75771815,73.75277603,73.74783391,73.74289179,73.73794967,73.73300755,73.72806543,73.72312332,73.7181812,73.71323908,73.70829696,73.70335484,73.69841272
