Borough,ZCTA,min,median,average,max,sum,Tot_pop,Tot_Hisp/Lati,Tot_White,Tot_Black/AfricanAmer,Tot_Asian,Inc_Hisp/Lati,Inc_White,Inc_Black/AfricanAmer,Inc_Asian
BROOKLYN/QUEENS,10004,70,227.5,227.5,385,455,3335,108,1977,132,969,136319,190446,200871,137891
BROOKLYN/QUEENS,10017,160,160.0,160.0,160,160,15846,821,11014,314,3373,-,136063,84886,127652
BROOKLYN/QUEENS,10038,225,225.0,225.0,225,225,23311,2729,11168,1631,6789,35068,147083,35968,36044
BROOKLYN/QUEENS,10044,395,395.0,395.0,395,395,12440,1603,4673,1487,4264,49520,98068,110224,123547
BROOKLYN/QUEENS,10162,50,50.0,50.0,50,50,1486,184,1181,0,72,-,-,-,-
BROOKLYN/QUEENS,10454,60,60.0,60.0,60,60,37212,25238,1311,10153,90,20409,97222,19716,-
BROOKLYN/QUEENS,11005,50,50.0,50.0,50,50,1759,26,1691,0,42,-,53207,-,-
BROOKLYN/QUEENS,11101,25,502.5,568.9130434782609,1995,26170,31366,7910,10358,4252,7700,45676,115239,28750,103036
BROOKLYN/QUEENS,11102,70,300.0,397.77777777777777,1650,7160,29747,8108,13527,2462,4718,44079,88028,38041,76912
BROOKLYN/QUEENS,11103,100,335.0,331.9230769230769,555,4315,35995,8685,20863,650,4906,65646,82686,102083,70530
BROOKLYN/QUEENS,11104,15,200.0,372.3076923076923,870,4840,25114,7196,10982,329,6034,55565,79295,54868,54293
BROOKLYN/QUEENS,11105,30,197.5,368.75,2335,8850,36983,7643,23354,786,4192,64957,82241,79178,82841
BROOKLYN/QUEENS,11106,75,495.0,482.63157894736844,870,9170,37690,9985,15701,2565,7923,54779,85041,38458,60297
BROOKLYN/QUEENS,11109,100,450.0,597.2222222222222,1465,5375,5980,384,3525,34,1815,-,166971,-,151698
BROOKLYN/QUEENS,11201,50,950.0,1594.032258064516,6785,49415,63378,7264,37298,7809,7815,45330,157173,41211,99792
BROOKLYN/QUEENS,11203,50,375.0,545.0,4640,15805,76085,4885,2837,65687,1309,42233,55417,55187,39688
BROOKLYN/QUEENS,11204,70,297.5,303.3333333333333,655,9100,76395,8535,40269,839,24967,51667,49336,50905,60536
BROOKLYN/QUEENS,11205,100,410.0,461.5217391304348,1000,10615,46843,8143,20745,13322,2966,41667,99750,39505,53661
BROOKLYN/QUEENS,11206,130,550.0,599.074074074074,1365,16175,88422,33214,30150,17435,5921,29911,77358,27720,41816
BROOKLYN/QUEENS,11207,40,195.0,236.55555555555554,670,10645,91083,28811,4524,53561,1623,35114,76023,38590,55263
BROOKLYN/QUEENS,11208,0,140.0,158.95833333333334,915,7630,101313,41109,2747,49533,6087,47535,43438,40706,59432
BROOKLYN/QUEENS,11209,40,217.5,291.0,980,11640,67782,11576,43607,1926,8960,72335,80800,67824,78160
BROOKLYN/QUEENS,11210,50,280.0,388.1034482758621,2665,11255,64665,4290,19346,36782,2583,54894,103060,62077,75875
BROOKLYN/QUEENS,11211,30,470.0,489.8809523809524,1685,20575,103123,24881,66242,3668,5700,43559,96671,48523,103750
BROOKLYN/QUEENS,11212,25,345.0,404.24242424242425,1865,13340,75605,14518,1286,57697,831,18948,21901,28457,28867
BROOKLYN/QUEENS,11213,190,480.0,480.2083333333333,910,11525,67056,7954,14719,41067,1468,39688,74980,41677,73911
BROOKLYN/QUEENS,11214,70,280.0,319.0,830,7975,92644,16579,37917,1369,34158,63152,51181,73981,63671
BROOKLYN/QUEENS,11215,75,415.0,420.16129032258067,1595,13025,69873,10480,47251,2722,5620,82065,147014,56875,138750
BROOKLYN/QUEENS,11216,75,495.0,460.0,980,8740,57786,6481,16386,29689,3021,58969,108927,49773,86131
BROOKLYN/QUEENS,11217,305,620.0,823.8461538461538,3200,10710,41813,7024,21270,8038,3498,47979,157290,50625,153800
BROOKLYN/QUEENS,11218,120,390.0,433.7096774193548,790,13445,72413,12445,37962,5355,13487,50357,84070,74156,55500
BROOKLYN/QUEENS,11219,120,440.0,411.53846153846155,660,10700,89371,11831,54475,932,21197,47031,36468,74844,46012
BROOKLYN/QUEENS,11220,60,430.0,509.14285714285717,2850,17820,93170,38511,12918,1771,38527,44785,64717,59688,47641
BROOKLYN/QUEENS,11221,105,425.0,452.82608695652175,975,10415,83322,28256,14469,35637,2890,43750,98060,50529,66350
BROOKLYN/QUEENS,11222,105,260.0,267.4074074074074,450,7220,36872,5671,27178,1083,1594,71262,96897,67176,82273
BROOKLYN/QUEENS,11223,20,245.0,262.36842105263156,635,9970,81388,11823,42870,3155,20457,34803,57281,24043,64182
BROOKLYN/QUEENS,11224,20,312.5,350.3125,760,5605,45795,8606,23273,9434,3404,26885,34264,30417,40581
BROOKLYN/QUEENS,11225,65,520.0,480.5882352941176,995,8170,56859,5321,14747,33293,1577,48821,89156,50503,63902
