ID,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ
1,40.56804683,40.56861238,40.56917794,40.5697435,40.57030905,40.57087461,40.57144017,40.57200572,40.57257128,40.57313684,40.57370239,40.57426795,40.57483351,40.57539906,40.57596462,40.57653017,40.57709573,40.57766129,40.57822684,40.5787924,40.57935796,40.57992351,40.58048907,40.58105463,40.58162018,40.58218574,40.5827513,40.58331685,40.58388241,40.58444797,40.58501352,40.58557908,40.58614464,40.58671019,40.58727575,40.58784131,40.58840686,40.58897242,40.58953797,40.59010353,40.59066909,40.59123464,40.5918002,40.59236576,40.59293131,40.59349687,40.59406243,40.59462798,40.59519354,40.5957591,40.59632465,40.59689021,40.59745577,40.59802132,40.59858688,40.59915244,40.59971799,40.60028355,40.60084911,40.60141466,40.60198022,40.60254577,40.60311133,40.60367689,40.60424244,40.604808,40.60537356,40.60593911,40.60650467
2,40.57074472,40.57131028,40.57187584,40.57244139,40.57300695,40.57357251,40.57413806,40.57470362,40.57526918,40.57583473,40.57640029,40.57696585,40.5775314,40.57809696,40.57866252,40.57922807,40.57979363,40.58035919,40.58092474,40.5814903,40.58205585,40.58262141,40.58318697,40.58375252,40.58431808,40.58488364,40.58544919,40.58601475,40.58658031,40.58714586,40.58771142,40.58827698,40.58884253,40.58940809,40.58997365,40.5905392,40.59110476,40.59167032,40.59223587,40.59280143,40.59336699,40.59393254,40.5944981,40.59506365,40.59562921,40.59619477,40.59676032,40.59732588,40.59789144,40.59845699,40.59902255,40.59958811,40.60015366,40.60071922,40.60128478,40.60185033,40.60241589,40.60298145,40.603547,40.60411256,40.60467812,40.60524367,40.60580923,40.60637479,40.60694034,40.6075059,40.60807145,40.60863701,40.60920257
3,40.57344262,40.57400818,40.57457373,40.57513929,40.57570485,40.5762704,40.57683596,40.57740152,40.57796707,40.57853263,40.57909819,40.57966374,40.5802293,40.58079486,40.58136041,40.58192597,40.58249153,40.58305708,40.58362264,40.5841882,40.58475375,40.58531931,40.58588487,40.58645042,40.58701598,40.58758153,40.58814709,40.58871265,40.5892782,40.58984376,40.59040932,40.59097487,40.59154043,40.59210599,40.59267154,40.5932371,40.59380266,40.59436821,40.59493377,40.59549933,40.59606488,40.59663044,40.597196,40.59776155,40.59832711,40.59889267,40.59945822,40.60002378,40.60058933,40.60115489,40.60172045,40.602286,40.60285156,40.60341712,40.60398267,40.60454823,40.60511379,40.60567934,40.6062449,40.60681046,40.60737601,40.60794157,40.60850713,40.60907268,40.60963824,40.6102038,40.61076935,40.61133491,40.61190047
4,40.57614052,40.57670608,40.57727163,40.57783719,40.57840275,40.5789683,40.57953386,40.58009941,40.58066497,40.58123053,40.58179608,40.58236164,40.5829272,40.58349275,40.58405831,40.58462387,40.58518942,40.58575498,40.58632054,40.58688609,40.58745165,40.58801721,40.58858276,40.58914832,40.58971388,40.59027943,40.59084499,40.59141055,40.5919761,40.59254166,40.59310721,40.59367277,40.59423833,40.59480388,40.59536944,40.595935,40.59650055,40.59706611,40.59763167,40.59819722,40.59876278,40.59932834,40.59989389,40.60045945,40.60102501,40.60159056,40.60215612,40.60272168,40.60328723,40.60385279,40.60441835,40.6049839,40.60554946,40.60611501,40.60668057,40.60724613,40.60781168,40.60837724,40.6089428,40.60950835,40.61007391,40.61063947,40.61120502,40.61177058,40.61233614,40.61290169,40.61346725,40.61403281,40.61459836
5,40.57883842,40.57940397,40.57996953,40.58053509,40.58110064,40.5816662,40.58223176,40.58279731,40.58336287,40.58392843,40.58449398,40.58505954,40.58562509,40.58619065,40.58675621,40.58732176,40.58788732,40.58845288,40.58901843,40.58958399,40.59014955,40.5907151,40.59128066,40.59184622,40.59241177,40.59297733,40.59354289,40.59410844,40.594674,40.59523956,40.59580511,40.59637067,40.59693623,40.59750178,40.59806734,40.59863289,40.59919845,40.59976401,40.60032956,40.60089512,40.60146068,40.60202623,40.60259179,40.60315735,40.6037229,40.60428846,40.60485402,40.60541957,40.60598513,40.60655069,40.60711624,40.6076818,40.60824736,40.60881291,40.60937847,40.60994403,40.61050958,40.61107514,40.61164069,40.61220625,40.61277181,40.61333736,40.61390292,40.61446848,40.61503403,40.61559959,40.61616515,40.6167307,40.61729626
6,40.58153631,40.58210187,40.58266743,40.58323298,40.58379854,40.5843641,40.58492965,40.58549521,40.58606077,40.58662632,40.58719188,40.58775744,40.58832299,40.58888855,40.58945411,40.59001966,40.59058522,40.59115077,40.59171633,40.59228189,40.59284744,40.593413,40.59397856,40.59454411,40.59510967,40.59567523,40.59624078,40.59680634,40.5973719,40.59793745,40.59850301,40.59906857,40.59963412,40.60019968,40.60076524,40.60133079,40.60189635,40.60246191,40.60302746,40.60359302,40.60415857,40.60472413,40.60528969,40.60585524,40.6064208,40.60698636,40.60755191,40.60811747,40.60868303,40.60924858,40.60981414,40.6103797,40.61094525,40.61151081,40.61207637,40.61264192,40.61320748,40.61377304,40.61433859,40.61490415,40.61546971,40.61603526,40.61660082,40.61716637,40.61773193,40.61829749,40.61886304,40.6194286,40.61999416
7,40.58423421,40.58479977,40.58536532,40.58593088,40.58649644,40.58706199,40.58762755,40.58819311,40.58875866,40.58932422,40.58988978,40.59045533,40.59102089,40.59158645,40.592152,40.59271756,40.59328312,40.59384867,40.59441423,40.59497979,40.59554534,40.5961109,40.59667645,40.59724201,40.59780757,40.59837312,40.59893868,40.59950424,40.60006979,40.60063535,40.60120091,40.60176646,40.60233202,40.60289758,40.60346313,40.60402869,40.60459425,40.6051598,40.60572536,40.60629092,40.60685647,40.60742203,40.60798759,40.60855314,40.6091187,40.60968425,40.61024981,40.61081537,40.61138092,40.61194648,40.61251204,40.61307759,40.61364315,40.61420871,40.61477426,40.61533982,40.61590538,40.61647093,40.61703649,40.61760205,40.6181676,40.61873316,40.61929872,40.61986427,40.62042983,40.62099539,40.62156094,40.6221265,40.62269205
8,40.58693211,40.58749767,40.58806322,40.58862878,40.58919433,40.58975989,40.59032545,40.590891,40.59145656,40.59202212,40.59258767,40.59315323,40.59371879,40.59428434,40.5948499,40.59541546,40.59598101,40.59654657,40.59711213,40.59767768,40.59824324,40.5988088,40.59937435,40.59993991,40.60050547,40.60107102,40.60163658,40.60220213,40.60276769,40.60333325,40.6038988,40.60446436,40.60502992,40.60559547,40.60616103,40.60672659,40.60729214,40.6078577,40.60842326,40.60898881,40.60955437,40.61011993,40.61068548,40.61125104,40.6118166,40.61238215,40.61294771,40.61351327,40.61407882,40.61464438,40.61520993,40.61577549,40.61634105,40.6169066,40.61747216,40.61803772,40.61860327,40.61916883,40.61973439,40.62029994,40.6208655,40.62143106,40.62199661,40.62256217,40.62312773,40.62369328,40.62425884,40.6248244,40.62538995
9,40.58963001,40.59019556,40.59076112,40.59132668,40.59189223,40.59245779,40.59302335,40.5935889,40.59415446,40.59472001,40.59528557,40.59585113,40.59641668,40.59698224,40.5975478,40.59811335,40.59867891,40.59924447,40.59981002,40.60037558,40.60094114,40.60150669,40.60207225,40.60263781,40.60320336,40.60376892,40.60433448,40.60490003,40.60546559,40.60603115,40.6065967,40.60716226,40.60772781,40.60829337,40.60885893,40.60942448,40.60999004,40.6105556,40.61112115,40.61168671,40.61225227,40.61281782,40.61338338,40.61394894,40.61451449,40.61508005,40.61564561,40.61621116,40.61677672,40.61734228,40.61790783,40.61847339,40.61903895,40.6196045,40.62017006,40.62073561,40.62130117,40.62186673,40.62243228,40.62299784,40.6235634,40.62412895,40.62469451,40.62526007,40.62582562,40.62639118,40.62695674,40.62752229,40.62808785
10,40.5923279,40.59289346,40.59345902,40.59402457,40.59459013,40.59515569,40.59572124,40.5962868,40.59685236,40.59741791,40.59798347,40.59854903,40.59911458,40.59968014,40.60024569,40.60081125,40.60137681,40.60194236,40.60250792,40.60307348,40.60363903,40.60420459,40.60477015,40.6053357,40.60590126,40.60646682,40.60703237,40.60759793,40.60816349,40.60872904,40.6092946,40.60986016,40.61042571,40.61099127,40.61155683,40.61212238,40.61268794,40.61325349,40.61381905,40.61438461,40.61495016,40.61551572,40.61608128,40.61664683,40.61721239,40.61777795,40.6183435,40.61890906,40.61947462,40.62004017,40.62060573,40.62117129,40.62173684,40.6223024,40.62286796,40.62343351,40.62399907,40.62456463,40.62513018,40.62569574,40.62626129,40.62682685,40.62739241,40.62795796,40.62852352,40.62908908,40.62965463,40.63022019,40.63078575
