Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date
BROOKLYN/QUEENS,76AZ,,
BROOKLYN/QUEENS,76AW,,
BROOKLYN/QUEENS,75BA,,
BROOKLYN/QUEENS,75BB,,
BROOKLYN/QUEENS,76AY,,
BROOKLYN/QUEENS,77AY,,
BROOKLYN/QUEENS,76AX,,
BROOKLYN/QUEENS,66Z,305,2018/6/20
BROOKLYN/QUEENS,67Z,445,2018/6/20
BROOKLYN/QUEENS,68Z,260,2018/6/20
BROOKLYN/QUEENS,69Z,495,2018/6/20
BROOKLYN/QUEENS,70Z,,
BROOKLYN/QUEENS,66Y,460,2018/6/20
BROOKLYN/QUEENS,67Y,285,2018/6/20
BROOKLYN/QUEENS,68Y,395,2018/6/20
BROOKLYN/QUEENS,66AA,370,2018/6/20
BROOKLYN/QUEENS,67AA,575,2018/6/20
BROOKLYN/QUEENS,68AA,620,2018/6/20
BROOKLYN/QUEENS,69AA,75,2018/6/20
BROOKLYN/QUEENS,70AA,300,2018/6/20
BROOKLYN/QUEENS,71AA,70,2018/6/20
BROOKLYN/QUEENS,72AA,210,2018/6/20
BROOKLYN/QUEENS,73AA,50,2018/6/20
BROOKLYN/QUEENS,66X,70,2018/6/20
BROOKLYN/QUEENS,67X,,
BROOKLYN/QUEENS,72AD,205,2018/6/20
BROOKLYN/QUEENS,73AD,135,2018/6/20
BROOKLYN/QUEENS,74AD,,
BROOKLYN/QUEENS,65AG,100,2018/6/20
BROOKLYN/QUEENS,66AG,170,2018/6/20
BROOKLYN/QUEENS,67AG,555,2018/6/20
BROOKLYN/QUEENS,68AG,160,2018/6/20
BROOKLYN/QUEENS,69AG,555,2018/6/20
BROOKLYN/QUEENS,70AG,340,2018/6/20
BROOKLYN/QUEENS,71AG,150,2018/6/20
BROOKLYN/QUEENS,72AG,310,2018/6/20
BROOKLYN/QUEENS,73AG,85,2018/6/20
BROOKLYN/QUEENS,74AG,,
BROOKLYN/QUEENS,75AG,155,2018/6/20
BROOKLYN/QUEENS,76AG,,
BROOKLYN/QUEENS,77AG,,
BROOKLYN/QUEENS,66AC,320,2018/6/20
BROOKLYN/QUEENS,67AC,690,2018/6/20
BROOKLYN/QUEENS,68AC,445,2018/6/20
BROOKLYN/QUEENS,69AC,1650,2018/6/20
BROOKLYN/QUEENS,70AC,310,2018/6/20
BROOKLYN/QUEENS,71AC,600,2018/6/20
BROOKLYN/QUEENS,72AC,85,2018/6/20
BROOKLYN/QUEENS,65AH,185,2018/6/20
BROOKLYN/QUEENS,66AH,25,2018/6/20
BROOKLYN/QUEENS,68AH,85,2018/6/20
BROOKLYN/QUEENS,69AH,80,2018/6/20
BROOKLYN/QUEENS,70AH,175,2018/6/20
BROOKLYN/QUEENS,71AH,210,2018/6/20
BROOKLYN/QUEENS,72AH,375,2018/6/20
BROOKLYN/QUEENS,73AH,,
BROOKLYN/QUEENS,70AD,425,2018/6/20
BROOKLYN/QUEENS,71AD,325,2018/6/20
BROOKLYN/QUEENS,74AF,135,2018/6/20
BROOKLYN/QUEENS,75AF,535,2018/6/20
BROOKLYN/QUEENS,76AF,30,2018/6/20
BROOKLYN/QUEENS,66AB,510,2018/6/20
BROOKLYN/QUEENS,67AB,560,2018/6/20
BROOKLYN/QUEENS,68AB,685,2018/6/20
BROOKLYN/QUEENS,69AB,430,2018/6/20
BROOKLYN/QUEENS,70AB,290,2018/6/20
BROOKLYN/QUEENS,71AB,530,2018/6/20
BROOKLYN/QUEENS,72AB,345,2018/6/20
BROOKLYN/QUEENS,65AD,370,2018/6/20
BROOKLYN/QUEENS,66AD,640,2018/6/20
BROOKLYN/QUEENS,67AD,375,2018/6/20
BROOKLYN/QUEENS,68AD,525,2018/6/20
BROOKLYN/QUEENS,69AD,740,2018/6/20
BROOKLYN/QUEENS,64AJ,125,2018/6/20
BROOKLYN/QUEENS,65AJ,275,2018/6/20
BROOKLYN/QUEENS,66AJ,75,2018/6/20
BROOKLYN/QUEENS,67AJ,80,2018/6/20
BROOKLYN/QUEENS,68AJ,125,2018/6/20
