Borough,ZCTA,min,median,average,max,sum
BROOKLYN/QUEENS,10004,70,227.5,227.5,385,455
BROOKLYN/QUEENS,10017,160,160.0,160.0,160,160
BROOKLYN/QUEENS,10038,225,225.0,225.0,225,225
BROOKLYN/QUEENS,10044,395,395.0,395.0,395,395
BROOKLYN/QUEENS,10162,50,50.0,50.0,50,50
BROOKLYN/QUEENS,10454,60,60.0,60.0,60,60
BROOKLYN/QUEENS,11005,50,50.0,50.0,50,50
BROOKLYN/QUEENS,11101,25,502.5,568.9130434782609,1995,26170
BROOKLYN/QUEENS,11102,70,300.0,397.77777777777777,1650,7160
BROOKLYN/QUEENS,11103,100,335.0,331.9230769230769,555,4315
BROOKLYN/QUEENS,11104,15,200.0,372.3076923076923,870,4840
BROOKLYN/QUEENS,11105,30,197.5,368.75,2335,8850
BROOKLYN/QUEENS,11106,75,495.0,482.63157894736844,870,9170
BROOKLYN/QUEENS,11109,100,450.0,597.2222222222222,1465,5375
BROOKLYN/QUEENS,11201,50,950.0,1594.032258064516,6785,49415
BROOKLYN/QUEENS,11203,50,375.0,545.0,4640,15805
BROOKLYN/QUEENS,11204,70,297.5,303.3333333333333,655,9100
BROOKLYN/QUEENS,11205,100,410.0,461.5217391304348,1000,10615
BROOKLYN/QUEENS,11206,130,550.0,599.074074074074,1365,16175
BROOKLYN/QUEENS,11207,40,195.0,236.55555555555554,670,10645
BROOKLYN/QUEENS,11208,0,140.0,158.95833333333334,915,7630
BROOKLYN/QUEENS,11209,40,217.5,291.0,980,11640
BROOKLYN/QUEENS,11210,50,280.0,388.1034482758621,2665,11255
BROOKLYN/QUEENS,11211,30,470.0,489.8809523809524,1685,20575
BROOKLYN/QUEENS,11212,25,345.0,404.24242424242425,1865,13340
BROOKLYN/QUEENS,11213,190,480.0,480.2083333333333,910,11525
BROOKLYN/QUEENS,11214,70,280.0,319.0,830,7975
BROOKLYN/QUEENS,11215,75,415.0,420.16129032258067,1595,13025
BROOKLYN/QUEENS,11216,75,495.0,460.0,980,8740
BROOKLYN/QUEENS,11217,305,620.0,823.8461538461538,3200,10710
BROOKLYN/QUEENS,11218,120,390.0,433.7096774193548,790,13445
BROOKLYN/QUEENS,11219,120,440.0,411.53846153846155,660,10700
BROOKLYN/QUEENS,11220,60,430.0,509.14285714285717,2850,17820
BROOKLYN/QUEENS,11221,105,425.0,452.82608695652175,975,10415
BROOKLYN/QUEENS,11222,105,260.0,267.4074074074074,450,7220
BROOKLYN/QUEENS,11223,20,245.0,262.36842105263156,635,9970
BROOKLYN/QUEENS,11224,20,312.5,350.3125,760,5605
BROOKLYN/QUEENS,11225,65,520.0,480.5882352941176,995,8170
BROOKLYN/QUEENS,11226,105,497.5,494.82142857142856,1110,13855
BROOKLYN/QUEENS,11228,35,240.0,245.0,710,4655
BROOKLYN/QUEENS,11229,60,225.0,287.7027027027027,905,10645
BROOKLYN/QUEENS,11230,135,310.0,380.3030303030303,920,12550
BROOKLYN/QUEENS,11231,20,245.0,270.6818181818182,660,5955
BROOKLYN/QUEENS,11232,15,325.0,359.3478260869565,905,8265
BROOKLYN/QUEENS,11233,110,490.0,475.16129032258067,1025,14730
BROOKLYN/QUEENS,11234,20,85.0,134.75,380,2695
BROOKLYN/QUEENS,11235,40,275.0,329.2857142857143,1030,9220
BROOKLYN/QUEENS,11236,20,160.0,175.68965517241378,480,5095
BROOKLYN/QUEENS,11237,15,490.0,487.72727272727275,825,10730
BROOKLYN/QUEENS,11238,35,520.0,469.25,1165,9385
BROOKLYN/QUEENS,11239,20,40.0,135.71428571428572,475,950
BROOKLYN/QUEENS,11354,25,240.0,384.86486486486484,1960,14240
BROOKLYN/QUEENS,11355,35,145.0,310.86206896551727,1380,9015
BROOKLYN/QUEENS,11356,30,102.5,135.0,345,810
BROOKLYN/QUEENS,11357,35,90.0,108.61111111111111,475,1955
BROOKLYN/QUEENS,11358,25,115.0,130.41666666666666,370,3130
BROOKLYN/QUEENS,11359,15,100.0,71.66666666666667,100,215
BROOKLYN/QUEENS,11360,15,135.0,200.0,895,2200
BROOKLYN/QUEENS,11361,10,135.0,168.42105263157896,610,3200
BROOKLYN/QUEENS,11362,10,60.0,102.14285714285714,270,1430
BROOKLYN/QUEENS,11364,10,80.0,98.6,365,2465
BROOKLYN/QUEENS,11365,5,110.0,169.375,775,4065
BROOKLYN/QUEENS,11366,30,97.5,199.16666666666666,485,1195
BROOKLYN/QUEENS,11367,5,120.0,176.48648648648648,745,6530
BROOKLYN/QUEENS,11368,0,220.0,296.6666666666667,1115,13350
BROOKLYN/QUEENS,11369,50,135.0,215.0,655,4945
BROOKLYN/QUEENS,11370,60,125.0,196.5,685,3930
BROOKLYN/QUEENS,11371,140,140.0,140.0,140,140
BROOKLYN/QUEENS,11372,270,695.0,719.5454545454545,1220,7915
BROOKLYN/QUEENS,11373,40,465.0,523.8461538461538,1910,13620
BROOKLYN/QUEENS,11374,50,337.5,409.72222222222223,1045,7375
BROOKLYN/QUEENS,11375,10,195.0,312.9166666666667,1435,11265
BROOKLYN/QUEENS,11377,15,222.5,268.75,690,11825
BROOKLYN/QUEENS,11378,10,205.0,210.6578947368421,670,8005
BROOKLYN/QUEENS,11379,25,105.0,139.0,525,3475
BROOKLYN/QUEENS,11385,55,247.5,263.1,850,13155
BROOKLYN/QUEENS,11411,25,40.0,35.0,40,105
BROOKLYN/QUEENS,11412,30,40.0,45.0,65,135
BROOKLYN/QUEENS,11413,60,75.0,114.44444444444444,220,1030
BROOKLYN/QUEENS,11414,165,165.0,165.0,165,165
BROOKLYN/QUEENS,11415,35,215.0,291.3636363636364,870,3205
BROOKLYN/QUEENS,11416,35,135.0,138.92857142857142,260,1945
BROOKLYN/QUEENS,11417,25,57.5,128.75,400,1030
BROOKLYN/QUEENS,11418,10,162.5,197.85714285714286,845,5540
BROOKLYN/QUEENS,11419,40,195.0,181.53846153846155,445,2360
BROOKLYN/QUEENS,11420,140,140.0,140.0,140,140
BROOKLYN/QUEENS,11421,35,135.0,154.34782608695653,365,3550
BROOKLYN/QUEENS,11422,65,87.5,87.5,110,175
BROOKLYN/QUEENS,11423,10,120.0,134.52380952380952,325,2825
BROOKLYN/QUEENS,11425,25,35.0,60.0,120,180
BROOKLYN/QUEENS,11426,30,30.0,30.0,30,30
BROOKLYN/QUEENS,11427,10,82.5,105.3125,310,1685
BROOKLYN/QUEENS,11428,10,130.0,150.76923076923077,375,1960
BROOKLYN/QUEENS,11429,15,107.5,100.0,190,600
BROOKLYN/QUEENS,11432,15,225.0,350.12820512820514,2110,13655
BROOKLYN/QUEENS,11433,15,92.5,198.0,1125,1980
BROOKLYN/QUEENS,11434,55,72.5,83.75,135,335
BROOKLYN/QUEENS,11435,10,237.5,344.03846153846155,1685,8945
BROOKLYN/QUEENS,11436,40,40.0,40.0,40,40
BROOKLYN/QUEENS,11693,10,42.5,42.5,75,85
