ID,Borough,NAID,Network Area Hosting Capacity (kVA),Updated Date,LongRef,LatRef,Long,Lat,Zip
1757,BROOKLYN/QUEENS,62U,160,2018-06-20 00:00:00,62,U,73.96339182,40.7439297,10017
1320,BROOKLYN/QUEENS,49M,225,2018-06-20 00:00:00,49,M,73.99598942,40.70433258,10038
1938,BROOKLYN/QUEENS,68Y,395,2018-06-20 00:00:00,68,Y,73.94682612,40.76237931,10044
2002,BROOKLYN/QUEENS,73AA,50,2018-06-20 00:00:00,73,AA,73.93961086,40.77699991,10162
1039,BROOKLYN/QUEENS,43J,70,2018-06-20 00:00:00,43,J,74.007613,40.68644853,10275
992,BROOKLYN/QUEENS,42J,385,2018-06-20 00:00:00,42,J,74.00707921,40.68375063,10275
2015,BROOKLYN/QUEENS,75AE,60,2018-06-20 00:00:00,75,AE,73.92090998,40.78465793,10454
1490,BROOKLYN/QUEENS,54BP,50,2018-06-20 00:00:00,54,BP,73.72684187,40.74892767,11005
1721,BROOKLYN/QUEENS,61X,25,2018-06-20 00:00:00,61,X,73.94803167,40.74292847,11101
1763,BROOKLYN/QUEENS,63AA,25,2018-06-20 00:00:00,63,AA,73.9342729,40.75002093,11101
1762,BROOKLYN/QUEENS,62Z,30,2018-06-20 00:00:00,62,Z,73.93868123,40.74675748,11101
1612,BROOKLYN/QUEENS,58Y,55,2018-06-20 00:00:00,58,Y,73.94148816,40.73540033,11101
1724,BROOKLYN/QUEENS,62AA,65,2018-06-20 00:00:00,62,AA,73.93373911,40.74732304,11101
1887,BROOKLYN/QUEENS,66X,70,2018-06-20 00:00:00,66,X,73.95070065,40.75641796,11101
1549,BROOKLYN/QUEENS,56Z,90,2018-06-20 00:00:00,56,Z,73.93547845,40.7305701,11101
1644,BROOKLYN/QUEENS,59Y,165,2018-06-20 00:00:00,59,Y,73.94202196,40.73809823,11101
1681,BROOKLYN/QUEENS,60Y,230,2018-06-20 00:00:00,60,Y,73.94255575,40.74079613,11101
1613,BROOKLYN/QUEENS,58Z,235,2018-06-20 00:00:00,58,Z,73.93654604,40.73596589,11101
1764,BROOKLYN/QUEENS,63AB,250,2018-06-20 00:00:00,63,AB,73.92933079,40.75058649,11101
1645,BROOKLYN/QUEENS,59Z,260,2018-06-20 00:00:00,59,Z,73.93707984,40.73866379,11101
1915,BROOKLYN/QUEENS,67Y,285,2018-06-20 00:00:00,67,Y,73.94629233,40.75968141,11101
1889,BROOKLYN/QUEENS,66Z,305,2018-06-20 00:00:00,66,Z,73.94081641,40.75754907,11101
1802,BROOKLYN/QUEENS,64AD,310,2018-06-20 00:00:00,64,AD,73.91998034,40.7544155,11101
1766,BROOKLYN/QUEENS,63AD,320,2018-06-20 00:00:00,63,AD,73.91944655,40.7517176,11101
1830,BROOKLYN/QUEENS,64W,330,2018-06-20 00:00:00,64,W,73.95457518,40.7504566,11101
1801,BROOKLYN/QUEENS,64AC,335,2018-06-20 00:00:00,64,AC,73.92492246,40.75384994,11101
1833,BROOKLYN/QUEENS,64Z,415,2018-06-20 00:00:00,64,Z,73.93974882,40.75215327,11101
1834,BROOKLYN/QUEENS,65AA,445,2018-06-20 00:00:00,65,AA,73.9353405,40.75541673,11101
1615,BROOKLYN/QUEENS,59AB,450,2018-06-20 00:00:00,59,AB,73.9271956,40.7397949,11101
1888,BROOKLYN/QUEENS,66Y,460,2018-06-20 00:00:00,66,Y,73.94575853,40.75698351,11101
1647,BROOKLYN/QUEENS,60AB,500,2018-06-20 00:00:00,60,AB,73.9277294,40.7424928,11101
1831,BROOKLYN/QUEENS,64X,505,2018-06-20 00:00:00,64,X,73.94963306,40.75102216,11101
1861,BROOKLYN/QUEENS,65X,505,2018-06-20 00:00:00,65,X,73.95016685,40.75372006,11101
1722,BROOKLYN/QUEENS,61Y,520,2018-06-20 00:00:00,61,Y,73.94308955,40.74349403,11101
1862,BROOKLYN/QUEENS,65Y,555,2018-06-20 00:00:00,65,Y,73.94522473,40.75428562,11101
1720,BROOKLYN/QUEENS,61W,570,2018-06-20 00:00:00,61,W,73.95297379,40.74236291,11101
1684,BROOKLYN/QUEENS,61AB,575,2018-06-20 00:00:00,61,AB,73.92826319,40.7451907,11101
1614,BROOKLYN/QUEENS,59AA,580,2018-06-20 00:00:00,59,AA,73.93213772,40.73922934,11101
1761,BROOKLYN/QUEENS,62Y,620,2018-06-20 00:00:00,62,Y,73.94362335,40.74619192,11101
1796,BROOKLYN/QUEENS,63X,675,2018-06-20 00:00:00,63,X,73.94909926,40.74832426,11101
1680,BROOKLYN/QUEENS,60X,685,2018-06-20 00:00:00,60,X,73.94749787,40.74023057,11101
1863,BROOKLYN/QUEENS,65Z,710,2018-06-20 00:00:00,65,Z,73.94028261,40.75485117,11101
1800,BROOKLYN/QUEENS,64AB,735,2018-06-20 00:00:00,64,AB,73.92986458,40.75328439,11101
1795,BROOKLYN/QUEENS,63W,760,2018-06-20 00:00:00,63,W,73.95404138,40.74775871,11101
1799,BROOKLYN/QUEENS,64AA,765,2018-06-20 00:00:00,64,AA,73.9348067,40.75271883,11101
